<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN,D,20180511,000000,32.005,38.626,31.3366,38.0136,327469.41601494694,0
TEN,D,20180514,000000,41.692,45.8613,40.0366,40.8951,391815.84512775356,0
TEN,D,20180515,000000,40.8334,40.8334,35.7321,38.0136,153252.56399384426,0
TEN,D,20180516,000000,38.9332,39.1774,36.7933,39.0371,55466.44019960677,0
TEN,D,20180517,000000,39.1598,39.1774,36.1731,36.1731,39255.49459909986,0
TEN,D,20180518,000000,36.1731,38.0136,35.7444,36.1731,21306.122176502107,0
TEN,D,20180521,000000,36.7933,38.626,36.7933,37.2771,33168.69103158429,0
TEN,D,20180522,000000,38.3194,38.3811,37.3999,37.9271,12370.700698563121,0
TEN,D,20180523,000000,38.0136,38.0136,36.051,37.3999,19863.33569970927,0
TEN,D,20180524,000000,37.3999,37.3999,36.6705,37.3934,9081.70185712289,0
TEN,D,20180525,000000,37.3999,37.3999,36.4809,37.0997,9614.470396045323,0
TEN,D,20180528,000000,37.2771,39.2391,36.7991,39.2391,59422.1696114326,0
TEN,D,20180529,000000,42.9181,44.5734,40.5262,41.3114,147750.88194307708,0
TEN,D,20180530,000000,39.8397,40.9562,37.5843,38.3194,52659.396712740876,0
TEN,D,20180601,000000,38.3194,39.8528,37.8298,39.2391,10424.401758684635,0
TEN,D,20180604,000000,39.8528,42.857,39.5463,42.7343,32438.828929129857,0
TEN,D,20180605,000000,43.8435,47.8169,43.537,47.8169,119815.94889933932,0
TEN,D,20180606,000000,48.8956,53.7696,47.3933,48.6201,160446.47906276793,0
TEN,D,20180607,000000,49.9074,51.5017,47.2168,50.8887,35901.824432125686,0
TEN,D,20180608,000000,50.5756,51.4952,49.3554,50.7964,25854.67207238902,0
TEN,D,20180611,000000,51.8083,51.992,46.3205,48.6754,46960.62109842893,0
TEN,D,20180612,000000,48.6507,50.2755,48.6507,49.2878,13011.254780042118,0
TEN,D,20180613,000000,49.5703,49.6626,48.1356,48.6013,9187.947606214357,0
TEN,D,20180614,000000,47.8226,50.8887,46.6582,50.5821,34305.05860882348,0
TEN,D,20180615,000000,50.7042,50.7659,49.478,50.2755,20818.00764806739,0
TEN,D,20180618,000000,50.2145,50.2145,49.0488,49.5826,9920.889295598978,0
TEN,D,20180619,000000,49.1105,49.1105,46.8419,48.1291,18164.943507710872,0
TEN,D,20180620,000000,47.8226,48.3753,45.4931,47.2037,19884.892808220582,0
TEN,D,20180621,000000,47.2037,47.933,43.8377,44.7573,25666.81726964758,0
TEN,D,20180622,000000,44.4514,45.371,44.4514,44.7515,10629.194289542098,0
TEN,D,20180625,000000,44.9106,49.0429,43.8994,47.6206,17630.635175323343,0
TEN,D,20180626,000000,47.6999,48.3753,45.9965,47.2037,11432.96647832103,0
TEN,D,20180627,000000,46.7192,47.2712,45.7568,46.0757,9863.916937390512,0
TEN,D,20180628,000000,45.7691,47.2102,45.6834,47.1979,11520.734705831377,0
TEN,D,20180629,000000,46.088,47.1914,46.0822,46.5965,20468.47453149111,0
TEN,D,20180702,000000,46.5965,47.8844,46.5965,47.8226,30581.838010226802,0
TEN,D,20180703,000000,47.8226,47.8226,46.94,47.4551,5589.450278290284,0
TEN,D,20180704,000000,47.731,48.9572,47.2102,47.5168,15595.028214469417,0
TEN,D,20180705,000000,47.5778,49.9691,47.3389,49.3554,53013.54920971244,0
TEN,D,20180706,000000,49.6626,50.2755,49.0618,49.0734,11736.3057909445,0
TEN,D,20180709,000000,49.5949,49.6567,48.1603,48.9267,6993.741918455776,0
TEN,D,20180710,000000,49.0734,54.384,48.804,52.4824,104515.02123670283,0
TEN,D,20180711,000000,53.3409,53.3409,52.1141,52.4213,13086.704659831712,0
TEN,D,20180712,000000,52.8505,53.335,50.2755,52.5863,9794.626231461292,0
TEN,D,20180713,000000,52.6668,53.2182,52.1089,52.4213,9117.117106820044,0
TEN,D,20180716,000000,52.9733,53.335,52.2986,52.4272,5966.69967723825,0
TEN,D,20180717,000000,52.4395,52.4395,50.9192,51.931,11502.257184250251,0
TEN,D,20180718,000000,52.0966,52.1089,50.6496,51.1952,12265.994742936748,0
TEN,D,20180719,000000,51.1952,51.8017,50.0976,50.8887,8772.203370639045,0
TEN,D,20180720,000000,51.5017,53.2182,50.8887,51.7407,21868.14679126132,0
TEN,D,20180723,000000,52.3538,53.0533,51.8083,53.0533,11819.454638059562,0
TEN,D,20180724,000000,53.3409,53.9235,50.8945,53.4942,27026.454899325356,0
TEN,D,20180725,000000,53.9539,59.3496,53.3409,58.246,47180.81156393734,0
TEN,D,20180726,000000,58.552,61.3055,58.552,60.6984,46914.42729447613,0
TEN,D,20180727,000000,61.0049,65.5996,59.0436,64.9307,68343.73294818573,0
TEN,D,20180730,000000,67.4506,71.3665,63.8846,64.6839,119626.55430313283,0
TEN,D,20180731,000000,64.3742,68.0611,61.8636,62.5376,47762.853493742776,0
TEN,D,20180801,000000,62.8428,64.2476,61.9621,62.8941,28244.431530214504,0
TEN,D,20180802,000000,63.3377,63.8846,62.9065,63.0266,16863.818029706657,0
TEN,D,20180803,000000,63.1533,63.7638,62.231,62.231,10975.64781918819,0
TEN,D,20180806,000000,63.1533,63.4455,59.7911,61.0049,27486.853145388384,0
TEN,D,20180807,000000,61.3114,63.0643,59.656,61.1888,25480.502260371235,0
TEN,D,20180808,000000,61.8636,65.4698,61.0049,65.4698,101139.79396121734,0
TEN,D,20180809,000000,66.9505,69.8925,65.0671,69.8925,51843.306176241196,0
TEN,D,20180810,000000,70.0159,70.0159,67.4506,69.5938,20025.01401354411,0
TEN,D,20180813,000000,69.2171,72.6393,67.496,71.7365,35887.96629093984,0
TEN,D,20180814,000000,71.7365,75.3996,71.1262,75.1072,36166.668908121814,0
TEN,D,20180816,000000,76.5624,78.2314,72.1073,76.9389,32731.38968749767,0
TEN,D,20180817,000000,77.2512,78.1074,73.893,75.413,33193.32772702579,0
TEN,D,20180820,000000,76.0296,78.6011,73.5751,73.8802,28262.90905179563,0
TEN,D,20180821,000000,75.2891,75.413,72.3603,74.1854,17642.953523044092,0
TEN,D,20180822,000000,74.7957,76.0296,72.6527,73.036,15912.225668278727,0
TEN,D,20180823,000000,74.1854,74.1854,71.1396,71.6717,21376.95267589642,0
TEN,D,20180824,000000,74.1269,74.1269,71.8796,72.3475,14851.30797082914,0
TEN,D,20180827,000000,72.9642,76.3285,72.8408,73.5751,44657.0900746487,0
TEN,D,20180828,000000,72.0424,75.413,64.8463,64.8463,113973.97249277368,0
TEN,D,20180829,000000,64.8334,70.5097,58.35,67.4506,116694.7875455943,0
TEN,D,20180830,000000,69.1587,69.1587,64.3742,65.5996,19649.304408061238,0
TEN,D,20180831,000000,64.9893,64.9893,60.0853,62.1089,40362.60610050225,0
TEN,D,20180903,000000,61.3237,61.9246,52.1141,52.1141,102710.38329561295,0
TEN,D,20180904,000000,50.9497,56.0451,49.7852,55.0457,97947.80210807803,0
TEN,D,20180905,000000,54.9354,59.3496,54.9354,56.1004,56113.153454946136,0
TEN,D,20180906,000000,55.1185,55.4867,52.7285,54.2605,38841.29015698964,0
TEN,D,20180907,000000,53.3409,56.8972,53.3409,54.2605,42644.58001577117,0
TEN,D,20180910,000000,53.3539,57.296,51.5017,57.0193,37606.37579798445,0
TEN,D,20180911,000000,58.246,58.246,53.3409,53.5864,24488.875268850872,0
TEN,D,20180912,000000,55.3029,55.7939,52.4213,52.7402,22781.24431606191,0
TEN,D,20180913,000000,54.543,54.543,53.3409,54.4014,6608.793552182339,0
TEN,D,20180914,000000,54.567,55.0574,53.9539,54.9963,9074.00288979742,0
TEN,D,20180917,000000,54.9354,62.8428,54.9354,62.8428,37666.42774312311,0
TEN,D,20180918,000000,63.1533,67.4506,62.5376,62.5376,38019.04044662957,0
TEN,D,20180919,000000,62.231,64.3742,58.9203,59.1657,33276.476574140856,0
