<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOR,D,20140708,000000,4.36864,4.36864,4.13865,4.18967,1443721.539356043,0
TOR,D,20140709,000000,4.18967,4.18967,4.06719,4.13355,54551.92819567718,0
TOR,D,20140710,000000,4.13355,4.16419,4.10807,4.15915,152796.8171454073,0
TOR,D,20140711,000000,4.17448,4.17448,4.11828,4.15915,9513.756220293206,0
TOR,D,20140714,000000,4.13865,4.33287,4.13865,4.31236,100303.00653112744,0
TOR,D,20140715,000000,4.34301,4.34301,4.2971,4.2971,86456.22490988913,0
TOR,D,20140716,000000,4.32776,4.32776,4.29191,4.29191,14911.277277788911,0
TOR,D,20140717,000000,4.29191,4.30221,4.18967,4.21536,138854.1475342196,0
TOR,D,20140718,000000,4.28177,4.28177,4.19485,4.25098,10829.784140336618,0
TOR,D,20140721,000000,4.25098,4.33287,4.25098,4.28177,185787.844412386,0
TOR,D,20140722,000000,4.26638,4.33287,4.25098,4.33287,229412.71079677093,0
TOR,D,20140723,000000,4.32776,4.51679,4.30221,4.51679,51719.75828960776,0
TOR,D,20140724,000000,4.5116,4.51679,4.42475,4.43001,32016.860876327526,0
TOR,D,20140725,000000,4.42475,4.49636,4.39411,4.46051,61150.133649074014,0
TOR,D,20140728,000000,4.46051,4.46051,4.37885,4.39411,12821.197033074395,0
TOR,D,20140729,000000,4.39411,4.49636,4.35841,4.38906,8235.249687621612,0
TOR,D,20140730,000000,4.47081,4.47081,4.34301,4.34301,10676.919228821536,0
TOR,D,20140731,000000,4.29191,4.49636,4.1693,4.41461,240664.95796528715,0
TOR,D,20140801,000000,4.34301,4.34301,4.24091,4.31747,32421.258051334647,0
TOR,D,20140804,000000,4.31747,4.31747,4.26127,4.26127,9840.331258529972,0
TOR,D,20140806,000000,4.29191,4.29191,4.1234,4.1693,10829.784140336618,0
TOR,D,20140807,000000,4.1693,4.18967,4.13355,4.16419,22308.54931410549,0
TOR,D,20140808,000000,4.17959,4.20514,4.17959,4.20514,1111.744811018777,0
TOR,D,20140811,000000,4.22557,4.26638,4.14376,4.26638,5303.022748559588,0
TOR,D,20140812,000000,4.27667,4.28673,4.23565,4.23565,11300.88600400613,0
TOR,D,20140813,000000,4.17959,4.23565,4.17959,4.23565,1217.3605680655828,0
TOR,D,20140814,000000,4.23069,4.23565,4.15397,4.15397,2915.5507668966993,0
TOR,D,20140818,000000,4.26638,4.26638,4.14887,4.26638,2341.612508208299,0
TOR,D,20140819,000000,4.26127,4.28177,4.16419,4.18967,14155.290806296054,0
TOR,D,20140821,000000,4.26638,4.31747,4.26638,4.29191,83214.09910475502,0
TOR,D,20140822,000000,4.29191,4.29191,4.24594,4.29191,5157.106242113374,0
TOR,D,20140825,000000,4.29191,4.29191,4.24594,4.27667,9561.005374761482,0
TOR,D,20140826,000000,4.27667,4.32776,4.24594,4.32776,8213.014791401216,0
TOR,D,20140827,000000,4.33287,4.42475,4.30732,4.40943,45013.15771713664,0
TOR,D,20140828,000000,4.37885,4.58314,4.34812,4.47081,100343.3072805272,0
TOR,D,20140829,000000,4.34301,4.49125,4.34301,4.47081,20382.451429015982,0
TOR,D,20140901,000000,4.47081,4.5116,4.41972,4.5116,55758.17131563338,0
TOR,D,20140902,000000,4.49125,4.49125,4.43001,4.45548,76375.47883597607,0
TOR,D,20140903,000000,4.36864,4.49125,4.36864,4.46051,11349.52483948842,0
TOR,D,20140904,000000,4.47081,4.47081,4.37885,4.44009,5258.552956118794,0
TOR,D,20140905,000000,4.40943,4.44519,4.37382,4.37382,31158.038009814692,0
TOR,D,20140908,000000,4.44519,4.44519,4.20004,4.26638,21745.72850352767,0
TOR,D,20140909,000000,4.27155,4.46051,4.27155,4.46051,42599.28179621229,0
TOR,D,20140910,000000,4.44519,4.47081,4.39928,4.47081,655954.4527593304,0
TOR,D,20140911,000000,4.47081,4.54227,4.4657,4.5219,275002.5861346168,0
TOR,D,20140912,000000,4.5065,4.5065,4.47081,4.49636,27383.664376405814,0
TOR,D,20140915,000000,4.58839,4.58839,4.49636,4.57306,238334.4629051905,0
TOR,D,20140916,000000,4.58839,4.77736,4.58839,4.67518,314034.55676847213,0
TOR,D,20140917,000000,4.72626,4.73648,4.67006,4.72123,34935.191005251814,0
TOR,D,20140918,000000,4.72123,4.72123,4.68028,4.70073,63274.95591913396,0
TOR,D,20140919,000000,4.74677,4.74677,4.68028,4.70073,14572.195110428096,0
TOR,D,20140922,000000,4.74677,4.74677,4.67006,4.67006,33539.95126742295,0
TOR,D,20140923,000000,4.67006,4.68539,4.5219,4.59343,27378.105652351507,0
TOR,D,20140924,000000,4.5219,4.72123,4.30732,4.6956,335741.374203612,0
TOR,D,20140925,000000,4.70583,4.74677,4.68028,4.71597,235902.52113108692,0
TOR,D,20140926,000000,4.74159,4.99193,4.71093,4.8642,191746.79659944682,0
TOR,D,20140929,000000,4.98172,4.98172,4.87961,4.95617,187513.82823149205,0
