<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRR,D,20121001,000000,0.747054,0.747054,0.747054,0.747054,39354.563061532186,0
TRR,D,20121002,000000,0.889351,0.889351,0.889351,0.889351,2698646.959825397,0
TRR,D,20121003,000000,1.06722,1.28066,0.889351,1.28066,613106.9867677848,0
TRR,D,20121004,000000,1.52968,1.86764,1.52968,1.86764,85453.37381572352,0
TRR,D,20121005,000000,2.24116,2.68584,2.24116,2.68584,22998.80665315941,0
TRR,D,20121008,000000,2.94375,4.23331,2.94375,3.73527,63771.25840099422,0
TRR,D,20121009,000000,3.91314,4.44675,2.67694,4.44675,128374.58470671799,0
TRR,D,20121010,000000,4.44675,4.75802,3.91314,4.75802,26054.96957890925,0
TRR,D,20121011,000000,4.71356,5.70963,4.13548,5.70963,28602.89643312159,0
TRR,D,20121012,000000,5.70073,5.70963,4.62462,5.3361,22775.04785175241,0
TRR,D,20121015,000000,5.3361,5.3361,4.49122,5.07819,3747.6788195453364,0
TRR,D,20121016,000000,5.06929,5.06929,4.26888,5.02483,6167.42223978583,0
TRR,D,20121017,000000,5.3361,5.3361,4.80249,5.11377,251.86920359380596,0
TRR,D,20121018,000000,4.62462,5.32721,4.06434,5.32721,6956.762333191417,0
TRR,D,20121019,000000,5.32721,5.32721,4.71356,4.71356,1191.881052720689,0
TRR,D,20121022,000000,4.44675,4.84696,4.44675,4.84696,848.9341460416229,0
TRR,D,20121023,000000,4.44675,5.06929,4.44675,4.89143,6907.288025342635,0
TRR,D,20121024,000000,4.89143,4.89143,4.44675,4.74913,3522.7956020508664,0
TRR,D,20121025,000000,4.58905,4.71356,4.44675,4.66909,1510.0908054753636,0
TRR,D,20121026,000000,4.45565,4.53569,4.45565,4.53569,1913.7561808779365,0
TRR,D,20121029,000000,4.62462,4.66909,4.62462,4.66909,5686.172154347665,0
TRR,D,20121030,000000,4.66909,5.3361,4.55348,5.3361,24123.222740631758,0
TRR,D,20121031,000000,5.3361,5.52287,5.3361,5.52287,2157.7544718594363,0
TRR,D,20121102,000000,5.55844,6.22545,5.345,5.345,529.599977199476,0
TRR,D,20121105,000000,5.345,5.345,4.45565,4.48233,11975.031331580507,0
TRR,D,20121106,000000,4.49122,4.66909,4.49122,4.66909,2498.4525463635573,0
TRR,D,20121107,000000,4.63352,4.63352,4.63352,4.63352,393.54563061532184,0
TRR,D,20121108,000000,4.63352,4.80249,4.63352,4.80249,21.363905661974616,0
TRR,D,20121109,000000,4.84696,4.84696,4.84696,4.84696,11.244160874723482,0
TRR,D,20121112,000000,4.84696,4.84696,4.84696,4.84696,11.244160874723482,0
TRR,D,20121113,000000,4.91811,4.91811,4.91811,4.91811,11.244160874723482,0
TRR,D,20121114,000000,4.98037,4.98037,4.98037,4.98037,303.59234361753397,0
TRR,D,20121115,000000,5.02483,5.02483,5.02483,5.02483,22.488321749446964,0
TRR,D,20121116,000000,5.24717,5.89639,5.24717,5.89639,1360.5434658415413,0
TRR,D,20121119,000000,5.89639,5.89639,5.89639,5.89639,250.74478750633364,0
TRR,D,20121120,000000,5.89639,5.89639,5.89639,5.89639,702.7600546702176,0
TRR,D,20121121,000000,5.89639,5.89639,5.89639,5.89639,302.4679275300617,0
TRR,D,20121122,000000,6.0209,6.0209,5.50508,5.50508,5766.005696558201,0
TRR,D,20121123,000000,5.55844,5.82525,5.55844,5.82525,333.9515779792874,0
TRR,D,20121126,000000,5.82525,5.82525,5.82525,5.82525,5.622080437361741,0
TRR,D,20121127,000000,5.82525,5.82525,5.82525,5.82525,5.622080437361741,0
TRR,D,20121128,000000,5.82525,5.82525,5.82525,5.82525,7.870912612306436,0
TRR,D,20121129,000000,5.82525,5.82525,5.78078,5.78078,187.77748660788214,0
TRR,D,20121130,000000,5.82525,5.82525,5.82525,5.82525,7.870912612306436,0
TRR,D,20121203,000000,5.82525,5.82525,5.82525,5.82525,5.622080437361741,0
TRR,D,20121204,000000,5.78078,5.78078,5.78078,5.78078,2.2488321749446962,0
TRR,D,20121205,000000,5.78078,6.50115,5.78078,6.05648,389.0479662654324,0
TRR,D,20121206,000000,6.04758,6.04758,6.04758,6.04758,22.488321749446964,0
TRR,D,20121207,000000,6.05648,6.09205,6.04758,6.09205,414.9095362772964,0
TRR,D,20121210,000000,6.13652,6.13652,6.13652,6.13652,11.244160874723482,0
TRR,D,20121211,000000,6.13652,6.21656,6.13652,6.21656,472.2547567383862,0
TRR,D,20121212,000000,6.21656,6.31439,5.89639,6.31439,4571.875811662568,0
TRR,D,20121213,000000,6.31439,6.34107,6.31439,6.33217,2441.107325902468,0
TRR,D,20121214,000000,6.33217,6.75906,6.33217,6.75906,227.13204966941433,0
TRR,D,20121217,000000,7.11481,7.55948,7.11481,7.3816,1285.207587980894,0
TRR,D,20121218,000000,7.30156,7.30156,7.29268,7.29268,803.9575025427289,0
TRR,D,20121219,000000,7.29268,7.29268,7.29268,7.29268,182.1554061705204,0
TRR,D,20121220,000000,7.29268,7.29268,7.11481,7.11481,170.91124529579693,0
TRR,D,20121221,000000,7.11481,7.11481,7.11481,7.11481,52.84755611120037,0
TRR,D,20121227,000000,7.11481,7.11481,7.11481,7.11481,1.1244160874723481,0
TRR,D,20121228,000000,7.11481,7.11481,7.11481,7.11481,4.4976643498893925,0
TRR,D,20130102,000000,7.33714,7.33714,7.33714,7.33714,11.244160874723482,0
TRR,D,20130103,000000,7.33714,7.64841,7.33714,7.64841,235.00296228172076,0
TRR,D,20130104,000000,7.73735,7.73735,7.64841,7.64841,174.28449355821394,0
TRR,D,20130107,000000,7.73735,8.89351,7.55948,7.55948,2813.289050855815,0
TRR,D,20130108,000000,7.65731,7.69289,7.64841,7.64841,461.01059586366273,0
TRR,D,20130109,000000,7.64841,7.64841,7.64841,7.64841,6.746496524834089,0
TRR,D,20130110,000000,7.64841,8.00416,7.64841,8.00416,773.5982681809755,0
TRR,D,20130111,000000,8.09309,8.58223,8.09309,8.58223,802.8330864552566,0
TRR,D,20130114,000000,8.6267,8.6267,8.6267,8.6267,6.746496524834089,0
TRR,D,20130115,000000,8.71564,8.71564,8.6267,8.6267,16.866241312085222,0
TRR,D,20130116,000000,8.6356,8.64448,8.6356,8.64448,562.2080437361741,0
TRR,D,20130117,000000,8.64448,8.64448,8.64448,8.64448,168.66241312085222,0
TRR,D,20130118,000000,8.80457,8.80457,8.71564,8.71564,10.119744787251134,0
TRR,D,20130121,000000,8.89351,9.51607,8.89351,9.51607,652.1613307339619,0
TRR,D,20130122,000000,10.0497,10.0497,9.51607,9.51607,778.0959325308648,0
TRR,D,20130123,000000,9.43605,9.43605,9.43605,9.43605,2.2488321749446962,0
TRR,D,20130124,000000,9.44491,9.51607,9.44491,9.44491,1068.1952830987307,0
