<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCG,D,19870102,000000,38.3855,38.9729,37.8022,38.3855,0,0
UCG,D,19870105,000000,38.9729,39.4121,38.9729,38.9729,0,0
UCG,D,19870107,000000,39.9985,40.2861,38.9729,38.9729,0,0
UCG,D,19870108,000000,38.3855,38.3855,37.2116,37.3541,0,0
UCG,D,19870109,000000,37.3541,37.6484,37.3541,37.3541,0,0
UCG,D,19870112,000000,37.3541,37.3541,37.3541,37.3541,0,0
UCG,D,19870113,000000,37.3541,37.3541,37.3541,37.3541,0,0
UCG,D,19870114,000000,37.3541,37.3541,37.3541,37.3541,0,0
UCG,D,19870115,000000,38.0914,38.0914,38.0914,38.0914,0,0
UCG,D,19870116,000000,37.8022,37.8022,37.8022,37.8022,0,0
UCG,D,19870119,000000,37.2116,37.2116,37.2116,37.2116,0,0
UCG,D,19870120,000000,36.9232,36.9232,36.9232,36.9232,0,0
UCG,D,19870121,000000,36.7741,36.7741,36.7741,36.7741,0,0
UCG,D,19870122,000000,35.891,35.891,35.891,35.891,0,0
UCG,D,19870123,000000,36.3317,36.3317,36.3317,36.3317,0,0
UCG,D,19870126,000000,35.3102,35.3102,35.3102,35.3102,0,0
UCG,D,19870127,000000,35.3102,35.3102,35.3102,35.3102,0,0
UCG,D,19870128,000000,34.8654,34.8654,34.8654,34.8654,0,0
UCG,D,19870129,000000,35.7453,35.7453,35.7453,35.7453,0,0
UCG,D,19870130,000000,36.1868,36.7741,36.1868,36.7741,0,0
UCG,D,19870202,000000,36.1868,36.1868,36.1868,36.1868,0,0
UCG,D,19870203,000000,36.1868,36.1868,36.1868,36.1868,0,0
UCG,D,19870204,000000,35.3102,35.3102,35.3102,35.3102,0,0
UCG,D,19870205,000000,35.5985,35.5985,35.5985,35.5985,0,0
UCG,D,19870206,000000,35.3102,35.3102,35.3102,35.3102,0,0
UCG,D,19870209,000000,34.5769,34.5769,34.5769,34.5769,0,0
UCG,D,19870210,000000,34.4272,34.4272,34.4272,34.4272,0,0
UCG,D,19870211,000000,34.5769,34.5769,34.5769,34.5769,0,0
UCG,D,19870212,000000,34.1305,34.5769,34.1305,34.1305,0,0
UCG,D,19870213,000000,34.1305,34.5769,34.1305,34.1305,0,0
UCG,D,19870216,000000,35.016,35.016,35.016,35.016,0,0
UCG,D,19870217,000000,33.9904,33.9904,33.9904,33.9904,0,0
UCG,D,19870218,000000,33.843,33.843,33.843,33.843,0,0
UCG,D,19870219,000000,33.5505,33.5505,33.5505,33.5505,0,0
UCG,D,19870220,000000,33.5505,33.5505,33.5505,33.5505,0,0
UCG,D,19870223,000000,34.1305,34.1305,34.1305,34.1305,0,0
UCG,D,19870224,000000,34.2828,34.2828,34.2828,34.2828,0,0
UCG,D,19870225,000000,33.5505,33.5505,33.5505,33.5505,0,0
UCG,D,19870226,000000,33.2548,33.2548,33.2548,33.2548,0,0
UCG,D,19870227,000000,33.5505,33.6946,33.5505,33.6946,0,0
UCG,D,19870302,000000,33.2548,33.2548,33.2548,33.2548,0,0
UCG,D,19870303,000000,32.6681,32.6681,32.6681,32.6681,0,0
UCG,D,19870304,000000,32.964,32.964,32.964,32.964,0,0
UCG,D,19870305,000000,32.964,32.964,32.964,32.964,0,0
UCG,D,19870306,000000,32.964,32.964,32.964,32.964,0,0
UCG,D,19870309,000000,32.5248,32.5248,32.5248,32.5248,0,0
UCG,D,19870310,000000,32.5248,32.5248,32.5248,32.5248,0,0
UCG,D,19870311,000000,32.6681,32.6681,32.6681,32.6681,0,0
UCG,D,19870312,000000,32.5248,32.5248,32.5248,32.5248,0,0
UCG,D,19870313,000000,32.6681,32.6681,32.6681,32.6681,0,0
UCG,D,19870316,000000,32.8197,32.8197,32.8197,32.8197,0,0
UCG,D,19870317,000000,33.5505,33.843,33.5505,33.5505,0,0
