<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULG,D,20180615,000000,6.76374,6.97272,4.47645,5.57806,485811.5675823264,0
ULG,D,20180618,000000,5.38287,6.44974,5.38287,5.50841,157026.3783831488,0
ULG,D,20180619,000000,5.50841,5.55724,4.87389,5.07606,75043.0608130906,0
ULG,D,20180620,000000,4.90176,4.90176,4.18364,4.19758,127915.945949832,0
ULG,D,20180621,000000,4.35787,5.75245,4.35787,5.41777,197129.5540600428,0
ULG,D,20180622,000000,5.68271,6.24052,5.41777,5.57806,163375.202707666,0
ULG,D,20180625,000000,5.73852,5.78728,5.22946,5.22946,31212.4729739212,0
ULG,D,20180626,000000,5.36893,5.43868,5.09695,5.41081,24256.2027034396,0
ULG,D,20180627,000000,5.2992,5.41081,5.13882,5.32009,18470.413514074644,0
ULG,D,20180628,000000,5.31313,5.31313,4.70647,5.09008,32450.95810909396,0
ULG,D,20180629,000000,5.09008,5.09008,4.67862,4.81105,34846.79324430188,0
ULG,D,20180702,000000,4.81105,5.00632,4.81105,4.88085,15375.641892359,0
ULG,D,20180703,000000,4.88085,4.9924,4.81105,4.98543,5460.533378544268,0
ULG,D,20180704,000000,4.97846,5.22946,4.97846,5.13186,9562.458919209424,0
ULG,D,20180705,000000,5.22946,5.4735,5.15973,5.3759,32070.797298271602,0
ULG,D,20180706,000000,5.4735,5.4735,5.16677,5.32706,15007.22432478024,0
ULG,D,20180709,000000,5.27134,5.27134,5.06205,5.1458,10581.409459780922,0
ULG,D,20180710,000000,5.20159,5.40377,5.09008,5.26438,16065.397297785361,0
ULG,D,20180711,000000,5.35493,5.92676,5.32706,5.5711,63727.48513707116,0
ULG,D,20180712,000000,5.6478,5.70369,5.43868,5.5711,18504.362162724323,0
ULG,D,20180713,000000,5.5711,5.57806,5.40377,5.57806,4540.855946083896,0
ULG,D,20180716,000000,5.75245,5.77335,5.49441,5.50841,15292.051351815922,0
ULG,D,20180717,000000,5.55724,5.65485,5.44564,5.63388,6129.375135321344,0
ULG,D,20180718,000000,5.57806,5.6478,5.38287,5.6269,21678.774324982922,0
ULG,D,20180719,000000,5.63388,5.66181,5.4735,5.6478,10475.602838156085,0
ULG,D,20180720,000000,5.64083,5.6478,5.50841,5.54325,7707.442838071988,0
ULG,D,20180723,000000,5.6478,5.6478,5.43868,5.61297,20055.00405466332,0
ULG,D,20180724,000000,5.51538,5.54325,5.36893,5.54325,17902.14729784116,0
ULG,D,20180725,000000,5.36893,5.57806,5.36893,5.56413,16850.4864869984,0
ULG,D,20180726,000000,5.43868,5.59897,5.42467,5.59897,19307.81351410008,0
ULG,D,20180727,000000,5.57806,5.78031,5.52234,5.76638,47476.54459603692,0
ULG,D,20180730,000000,6.14989,6.97272,6.07318,6.83333,260222.7973052028,0
ULG,D,20180731,000000,6.97272,7.39083,6.62404,6.90298,149245.94595048,0
ULG,D,20180801,000000,6.95902,6.97272,6.46367,6.52643,28018.524325175524,0
ULG,D,20180802,000000,6.41491,6.59618,6.08015,6.4776,48063.06621767636,0
ULG,D,20180803,000000,6.41491,6.69378,6.27543,6.51251,21800.2635141758,0
ULG,D,20180806,000000,6.56823,6.56823,6.42179,6.50546,16376.27297347048,0
ULG,D,20180807,000000,6.5543,6.5543,5.85702,6.39393,18386.822973531558,0
ULG,D,20180808,000000,6.41491,6.62404,6.27543,6.54037,21800.2635141758,0
ULG,D,20180809,000000,6.5543,6.58921,6.39393,6.48456,7507.572838065917,0
ULG,D,20180810,000000,6.51948,6.90298,6.38688,6.65895,27996.31891976944,0
ULG,D,20180813,000000,6.93752,7.67023,6.83333,7.20972,92070.01621901328,0
ULG,D,20180814,000000,7.32194,7.46049,7.196,7.22335,68783.05811019771,0
ULG,D,20180816,000000,7.33571,7.33571,6.84773,7.08472,65974.39459659888,0
ULG,D,20180817,000000,7.09765,7.1817,6.96622,7.08472,54839.13108274709,0
ULG,D,20180820,000000,7.34872,9.06494,7.32194,9.06494,159550.1081129552,0
ULG,D,20180821,000000,8.93867,9.06494,8.29795,8.71668,132123.22973374362,0
ULG,D,20180822,000000,8.57658,10.2498,8.57658,8.9953,223852.90541220602,0
ULG,D,20180823,000000,9.34361,9.69259,8.28343,8.29795,269188.2297379076,0
ULG,D,20180824,000000,8.29795,8.66001,7.20972,7.46049,458588.59460852644,0
ULG,D,20180827,000000,8.35308,8.78553,8.01931,8.67381,143343.3648692196,0
ULG,D,20180828,000000,8.78553,8.9953,8.50691,8.71668,59472.69459640136,0
ULG,D,20180829,000000,8.78553,8.95324,7.75368,8.67381,54208.19865029548,0
ULG,D,20180830,000000,8.67381,8.92487,8.43652,8.67381,28790.58919006384,0
ULG,D,20180831,000000,7.68402,8.45104,7.68402,8.1724,58971.15135314289,0
ULG,D,20180903,000000,8.1724,8.1724,7.32194,7.46049,67651.756758812,0
ULG,D,20180904,000000,7.25205,7.94888,6.97272,7.44671,66610.66486688849,0
ULG,D,20180905,000000,7.32194,7.83712,7.25205,7.53091,42993.18783914396,0
ULG,D,20180906,000000,7.43293,8.00476,7.39083,7.82334,60281.37702885836,0
ULG,D,20180907,000000,7.93509,8.9953,7.73989,8.63241,58810.37567746232,0
ULG,D,20180910,000000,8.63241,8.98077,8.0882,8.3676,45817.43783922976,0
ULG,D,20180911,000000,8.38138,8.61791,8.10275,8.21373,15302.513513978402,0
ULG,D,20180912,000000,8.22829,8.43652,8.22829,8.35308,8425.93716241814,0
ULG,D,20180913,000000,8.3676,8.3676,8.10275,8.18618,12020.91756793276,0
ULG,D,20180914,000000,8.22829,8.67381,8.22829,8.45104,34898.99729835752,0
ULG,D,20180917,000000,8.25586,8.50691,8.13031,8.25586,16624.48243293748,0
ULG,D,20180918,000000,8.10275,8.50691,8.01931,8.33929,19895.616216820643,0
ULG,D,20180919,000000,8.33929,8.33929,8.03232,8.29795,11080.39054087716,0
ULG,D,20180920,000000,8.22829,8.32477,8.10275,8.29795,9365.20445974397,0
ULG,D,20180921,000000,8.19919,8.74343,8.19919,8.43652,48534.71756904204,0
ULG,D,20180924,000000,8.50691,8.54826,8.15784,8.43652,25076.628379140202,0
ULG,D,20180925,000000,8.49239,8.49239,8.29795,8.3676,10694.99864897356,0
ULG,D,20180926,000000,8.29795,8.3676,8.19919,8.35308,8180.34324349176,0
ULG,D,20180927,000000,8.35308,8.54826,8.35308,8.54826,6817.828108315232,0
ULG,D,20180928,000000,8.53448,8.54826,8.19919,8.3676,4581.35945959864,0
ULG,D,20181001,000000,8.24205,8.31173,7.75368,7.75368,24996.88108184048,0
ULG,D,20181002,000000,7.85089,8.01931,7.75368,7.85089,10318.8412165297,0
ULG,D,20181003,000000,7.82334,7.96265,7.75368,7.94888,6971.974189400997,0
ULG,D,20181004,000000,7.94888,8.29795,7.94888,8.21373,4961.509594745324,0
ULG,D,20181005,000000,8.21373,8.56204,8.01931,8.5207,27906.10946030724,0
ULG,D,20181008,000000,8.50691,8.57658,8.25586,8.35308,16179.093243734762,0
ULG,D,20181009,000000,8.35308,8.35308,8.01931,8.01931,15992.268919404762,0
ULG,D,20181010,000000,7.94888,8.11577,7.82334,7.94888,10425.960946262685,0
ULG,D,20181011,000000,7.67023,7.67023,6.68681,6.97272,90885.2297324908,0
ULG,D,20181012,000000,6.98635,7.67023,6.98635,7.67023,21057.02297361268,0
ULG,D,20181015,000000,7.67023,7.67023,7.26498,7.43293,10377.621486801756,0
ULG,D,20181016,000000,7.26498,7.94888,7.26498,7.89299,26072.028379170442,0
ULG,D,20181017,000000,8.01931,8.21373,7.72612,7.93509,21442.30810875952,0
ULG,D,20181018,000000,7.94888,8.28343,7.67023,8.0882,21064.816216856158,0
ULG,D,20181019,000000,7.82334,8.25586,7.82334,8.01931,9339.0810813648,0
ULG,D,20181022,000000,8.29795,8.68753,7.94888,8.43652,89084.99054324692,0
ULG,D,20181023,000000,8.57658,9.62215,8.4786,8.92487,272408.0135217892,0
