<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULM,D,19970521,000000,9.77652,9.77652,9.77652,9.77652,182020.5093215664,0
ULM,D,19970522,000000,10.2121,10.2121,10.2121,10.2121,146243.66243554617,0
ULM,D,19970523,000000,9.66738,9.66738,9.66738,9.66738,65320.732311723186,0
ULM,D,19970526,000000,9.34185,9.34185,9.34185,9.34185,76213.01940848444,0
ULM,D,19970527,000000,9.17816,9.17816,9.17816,9.17816,53970.98015365424,0
ULM,D,19970528,000000,9.28728,9.28728,9.28728,9.28728,45115.292320214736,0
ULM,D,19970530,000000,9.77652,9.77652,9.77652,9.77652,30123.414481734566,0
ULM,D,19970602,000000,10.3194,10.3194,10.3194,10.3194,30522.596734750652,0
ULM,D,19970603,000000,10.8077,10.8077,10.8077,10.8077,136976.69591718103,0
ULM,D,19970604,000000,10.6995,10.6995,10.6995,10.6995,51214.09335389853,0
ULM,D,19970605,000000,10.5922,10.5922,10.5922,10.5922,66801.99538283247,0
ULM,D,19970606,000000,11.0806,11.0806,11.0806,11.0806,65299.838474788456,0
ULM,D,19970609,000000,11.949,11.949,11.949,11.949,74523.91764365604,0
ULM,D,19970610,000000,11.949,11.949,11.949,11.949,39997.40194683494,0
ULM,D,19970611,000000,13.1439,13.1439,13.1439,13.1439,64935.845841872964,0
ULM,D,19970612,000000,14.0669,14.0669,14.0669,14.0669,84169.17257810256,0
ULM,D,19970613,000000,14.0669,14.0669,14.0669,14.0669,53335.367640587305,0
ULM,D,19970616,000000,13.5231,13.5231,13.5231,13.5231,35041.163890792246,0
ULM,D,19970617,000000,12.9265,12.9265,12.9265,12.9265,53162.71856696878,0
ULM,D,19970618,000000,12.7628,12.7628,12.7628,12.7628,30334.552202338113,0
ULM,D,19970619,000000,12.601,12.601,12.601,12.601,37815.645500598264,0
ULM,D,19970620,000000,12.7092,12.7092,12.7092,12.7092,45989.53444458881,0
ULM,D,19970623,000000,12.2745,12.2745,12.2745,12.2745,24032.311177447787,0
ULM,D,19970624,000000,11.2424,11.2424,11.2424,11.2424,28104.41002846312,0
ULM,D,19970625,000000,11.2424,11.2424,11.2424,11.2424,39847.84606140743,0
ULM,D,19970626,000000,10.9177,10.9177,10.9177,10.9177,7769.208312833742,0
ULM,D,19970627,000000,11.1887,11.1887,11.1887,11.1887,21673.506955080004,0
