<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI,D,20080408,000000,6.35346,6.72435,6.34001,6.48178,366901.52407496696,0
UNI,D,20080409,000000,6.4211,6.5087,6.4211,6.47492,190031.73095317985,0
UNI,D,20080410,000000,6.46155,6.48838,6.44792,6.47492,95129.56569973829,0
UNI,D,20080411,000000,6.49507,6.54914,6.49507,6.54247,31042.434923377707,0
UNI,D,20080414,000000,6.54247,6.54247,6.41424,6.47492,8939.111543754934,0
UNI,D,20080415,000000,6.47492,6.5087,6.47492,6.47492,11704.300970670301,0
UNI,D,20080416,000000,6.45486,6.47492,6.45486,6.47492,6109.112989645797,0
UNI,D,20080417,000000,6.47492,6.47492,6.44792,6.47492,2783.38146261919,0
UNI,D,20080418,000000,6.41424,6.47492,6.41424,6.47492,12751.480025847313,0
UNI,D,20080421,000000,6.48178,6.48178,6.47492,6.48178,14966.360372735673,0
UNI,D,20080422,000000,6.50192,6.50192,6.43437,6.47492,91925.49341147789,0
UNI,D,20080423,000000,6.39409,6.47492,6.39409,6.47492,3760.066379445124,0
UNI,D,20080424,000000,6.47492,6.47492,6.47492,6.47492,533.2540465557191,0
UNI,D,20080425,000000,6.47492,6.47492,6.34695,6.35346,46761.490773341066,0
UNI,D,20080428,000000,6.34695,6.46155,6.34695,6.46155,269.4695288565147,0
UNI,D,20080429,000000,6.46155,6.46155,6.46155,6.46155,181.92035703393404,0
UNI,D,20080430,000000,6.27254,6.54247,6.27254,6.54247,14841.290127274844,0
UNI,D,20080505,000000,6.40756,6.47492,6.40756,6.47492,1973.8358738181842,0
UNI,D,20080506,000000,6.47492,6.47492,6.47492,6.47492,19.329037934855492,0
UNI,D,20080507,000000,6.52225,6.52225,6.52225,6.52225,148.94729232153347,0
UNI,D,20080508,000000,6.52225,6.52225,6.34695,6.47492,45658.59860882283,0
UNI,D,20080509,000000,6.5356,6.55583,6.40756,6.5356,1152.920262702557,0
UNI,D,20080512,000000,6.54247,6.54247,6.5356,6.54247,46306.68988075624,0
UNI,D,20080513,000000,6.54914,6.54914,6.41424,6.54914,1052.8640663338933,0
UNI,D,20080514,000000,6.55583,6.60983,6.47492,6.60983,6644.641040664441,0
UNI,D,20080515,000000,6.67053,6.74467,6.60983,6.74467,2831.1355563405987,0
UNI,D,20080516,000000,6.80545,7.15636,6.80545,6.91336,177578.1455119754,0
UNI,D,20080519,000000,7.08178,7.21608,7.08178,7.19691,42764.92792975184,0
UNI,D,20080520,000000,7.28415,7.41265,7.15636,7.26384,3411.0066943862635,0
UNI,D,20080521,000000,7.27746,7.27746,7.09568,7.09568,3954.493761025141,0
UNI,D,20080523,000000,6.96041,7.22364,6.96041,7.22364,2925.5067415519516,0
UNI,D,20080526,000000,7.26384,7.28415,6.9809,7.21608,388.854763160034,0
UNI,D,20080527,000000,7.21608,7.21608,7.20394,7.20394,287.6615645599082,0
UNI,D,20080528,000000,7.19013,7.19691,7.19013,7.19691,163.7283213305406,0
UNI,D,20080529,000000,7.19691,7.19691,7.19691,7.19691,114.83722537767085,0
UNI,D,20080530,000000,7.26384,7.26384,7.14968,7.14968,169.4133324878511,0
UNI,D,20080602,000000,7.14968,7.14968,7.14968,7.14968,952.8078699652294,0
UNI,D,20080603,000000,7.14968,7.14968,7.14968,7.14968,225.12644182949336,0
UNI,D,20080604,000000,7.14968,7.14968,6.95389,6.95389,251.27749315312138,0
UNI,D,20080605,000000,7.02795,7.14968,7.02795,7.02795,6943.672627538969,0
UNI,D,20080606,000000,7.09568,7.09568,7.08908,7.08908,1652.0642423144136,0
UNI,D,20080609,000000,6.87967,7.14968,6.67737,7.14968,2873.204638904696,0
UNI,D,20080610,000000,7.13622,7.13622,7.13622,7.13622,28.42505578655219,0
UNI,D,20080611,000000,7.06191,7.06191,7.06191,7.06191,73.90514504503571,0
UNI,D,20080612,000000,7.06859,7.06859,7.06859,7.06859,55.7131093416423,0
UNI,D,20080613,000000,7.08178,7.08178,7.08178,7.08178,68.22013388772525,0
UNI,D,20080616,000000,7.06191,7.06191,7.06191,7.06191,73.90514504503571,0
UNI,D,20080617,000000,6.8123,7.03455,6.8123,7.03455,1060.8230819541277,0
UNI,D,20080618,000000,7.01476,7.01476,6.7583,7.01476,493.45896845454604,0
UNI,D,20080619,000000,6.7583,6.8123,6.7583,6.8123,2043.1930099373717,0
UNI,D,20080620,000000,6.80545,6.95389,6.80545,6.95389,923.2458119472152,0
UNI,D,20080623,000000,6.8123,7.04115,6.8123,7.00816,69.35713611918736,0
UNI,D,20080624,000000,6.99419,6.99419,6.9809,6.9809,1380.3207089949744,0
UNI,D,20080625,000000,6.94034,6.94034,6.91336,6.93358,238.7704686070384,0
UNI,D,20080626,000000,6.87967,6.94704,6.84581,6.94704,1780.5454944696291,0
UNI,D,20080627,000000,6.87299,6.87299,6.87299,6.87299,30.699060249476368,0
UNI,D,20080630,000000,6.94034,6.94034,6.94034,6.94034,30.699060249476368,0
UNI,D,20080701,000000,6.95389,6.95389,6.94704,6.94704,38.658075869710984,0
UNI,D,20080702,000000,6.93358,6.93358,6.93358,6.93358,32.97306471240054,0
UNI,D,20080703,000000,6.9809,6.9809,6.9809,6.9809,30.699060249476368,0
UNI,D,20080704,000000,6.94704,6.94704,6.94034,6.94034,30.699060249476368,0
UNI,D,20080707,000000,6.94704,6.94704,6.94704,6.94704,30.699060249476368,0
UNI,D,20080708,000000,6.8123,6.94034,6.8123,6.94034,882.3137316145802,0
UNI,D,20080709,000000,6.94034,6.94034,6.67737,6.93358,693.5713611918735,0
UNI,D,20080710,000000,6.87967,6.87967,6.87967,6.87967,36.38407140678681,0
UNI,D,20080711,000000,6.87967,6.87967,6.67737,6.87967,1761.216456534774,0
UNI,D,20080714,000000,6.67737,6.93358,6.67737,6.8123,111.4262186832846,0
UNI,D,20080715,000000,6.60983,6.84581,6.60983,6.84581,1890.8347109214517,0
UNI,D,20080716,000000,6.94034,6.94034,6.87299,6.87299,1141.550240387936,0
UNI,D,20080717,000000,6.74467,6.87967,6.60983,6.60983,909.60178516967,0
UNI,D,20080718,000000,6.93358,6.93358,6.60983,6.60983,281.9765534025978,0
UNI,D,20080721,000000,6.93358,6.93358,6.93358,6.93358,103.46720306304998,0
UNI,D,20080722,000000,6.74467,6.74467,6.74467,6.74467,741.3254549132811,0
UNI,D,20080723,000000,6.74467,6.74467,6.74467,6.74467,111.4262186832846,0
UNI,D,20080724,000000,6.74467,6.74467,6.74467,6.74467,444.5678725016763,0
UNI,D,20080725,000000,6.74467,6.74467,6.60983,6.74467,503.69198853770484,0
UNI,D,20080728,000000,6.87967,6.87967,6.87967,6.87967,30.699060249476368,0
UNI,D,20080729,000000,6.87967,6.87967,6.87299,6.87299,30.699060249476368,0
UNI,D,20080730,000000,6.87967,6.87967,6.84581,6.84581,30.699060249476368,0
UNI,D,20080731,000000,6.74467,6.74467,6.60983,6.60983,205.79740389463788,0
UNI,D,20080801,000000,6.74467,6.74467,6.60983,6.74467,2358.14262805237,0
UNI,D,20080804,000000,6.74467,6.74467,6.74467,6.74467,30.699060249476368,0
UNI,D,20080805,000000,6.74467,6.74467,6.73815,6.73815,30.699060249476368,0
UNI,D,20080806,000000,6.87967,6.87967,6.74467,6.74467,40.93208033263515,0
UNI,D,20080807,000000,6.54247,6.74467,6.54247,6.74467,2280.8264763129478,0
UNI,D,20080808,000000,6.67737,6.67737,6.47492,6.67737,633.3102429243828,0
UNI,D,20080811,000000,6.74467,6.91336,6.67737,6.67737,1035.809032861962,0
UNI,D,20080812,000000,6.87967,6.87967,6.87967,6.87967,32.97306471240054,0
UNI,D,20080813,000000,6.89321,7.14968,6.82567,7.14968,8843.60335631212,0
UNI,D,20080814,000000,7.02795,7.21608,7.02795,7.21608,4654.887135605787,0
UNI,D,20080818,000000,7.08178,7.41265,7.08178,7.41265,1233.6474211363652,0
