<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNT,D,20120926,000000,1.6317,1.85678,1.6317,1.688,5048.145676128456,0
UNT,D,20120927,000000,1.688,1.688,1.40676,1.60362,462.7046611236622,0
UNT,D,20121008,000000,1.60362,1.60362,1.60362,1.60362,1258.254092101948,0
UNT,D,20121009,000000,1.64874,1.64874,1.64874,1.64874,7.564653860332352,0
UNT,D,20121010,000000,1.60362,1.60362,1.5362,1.5362,549.6981805174844,0
UNT,D,20121011,000000,1.54731,1.54731,1.4967,1.4967,712.3382385146299,0
UNT,D,20121012,000000,1.56982,1.87941,1.56982,1.84553,29088.615644264897,0
UNT,D,20121015,000000,1.84553,1.84553,1.50233,1.50797,4840.117694969317,0
UNT,D,20121016,000000,1.50797,1.50797,1.29413,1.29413,3121.6804930304843,0
UNT,D,20121017,000000,1.29413,1.35044,1.29413,1.31102,176.50859007442156,0
UNT,D,20121018,000000,1.29413,1.31664,1.29413,1.31664,530.7865458666533,0
UNT,D,20121019,000000,1.32228,1.35044,1.29413,1.29413,1939.07293953186,0
UNT,D,20121022,000000,1.29413,1.35044,1.29413,1.35044,160.1185067103681,0
UNT,D,20121023,000000,1.37859,1.67667,1.37859,1.67667,4202.165219414622,0
UNT,D,20121024,000000,1.67667,1.67667,1.50233,1.60362,4410.193200573762,0
UNT,D,20121025,000000,1.6317,1.6317,1.6317,1.6317,148.77152591986965,0
UNT,D,20121029,000000,1.60362,1.60362,1.54731,1.57546,1429.7195796028147,0
UNT,D,20121030,000000,1.63741,1.67667,1.63741,1.67667,1241.8640087378947,0
UNT,D,20121031,000000,1.688,1.74432,1.688,1.74432,205.50642987236225,0
UNT,D,20121105,000000,1.73861,1.73861,1.73861,1.73861,45.38792316199412,0
UNT,D,20121106,000000,1.73861,1.73861,1.73861,1.73861,17.650859007442158,0
UNT,D,20121107,000000,1.73861,1.73861,1.6317,1.6317,4122.736353881132,0
UNT,D,20121108,000000,1.65992,1.65992,1.40676,1.54731,6026.507575398108,0
UNT,D,20121109,000000,1.54731,1.54731,1.54731,1.54731,45.38792316199412,0
UNT,D,20121112,000000,1.56982,1.73861,1.56982,1.73861,3562.9519682165383,0
UNT,D,20121113,000000,1.73861,1.73861,1.54731,1.54731,2829.1805437642997,0
UNT,D,20121114,000000,1.57546,1.73861,1.57546,1.73861,23104.97444074134,0
UNT,D,20121115,000000,1.73861,1.74996,1.73861,1.74996,3267.9304676635766,0
UNT,D,20121116,000000,1.75559,1.75559,1.54731,1.57546,2085.3229141649517,0
UNT,D,20121119,000000,1.54731,1.54731,1.5193,1.5193,1037.6183545089211,0
UNT,D,20121120,000000,1.49114,1.75559,1.44046,1.75559,5989.945081739835,0
UNT,D,20121122,000000,1.74432,1.75559,1.74432,1.75559,2559.374556079113,0
UNT,D,20121123,000000,1.75559,1.75559,1.6317,1.6317,996.012758277093,0
UNT,D,20121130,000000,1.60362,1.60362,1.54731,1.54731,1028.7929250052,0
UNT,D,20121203,000000,1.55301,1.55301,1.55301,1.55301,975.8403479828736,0
UNT,D,20121206,000000,1.55301,1.55301,1.53048,1.53048,2131.9716129703347,0
UNT,D,20121207,000000,1.54731,1.54731,1.54731,1.54731,975.8403479828736,0
UNT,D,20121210,000000,1.54731,1.54731,1.53048,1.53048,996.012758277093,0
UNT,D,20121214,000000,1.54731,1.54731,1.54731,1.54731,637.9524755546951,0
UNT,D,20121221,000000,1.54731,1.64295,1.54731,1.64295,1920.1613048810286,0
UNT,D,20121227,000000,1.65992,1.68246,1.65992,1.68246,3811.3247699641174,0
UNT,D,20121228,000000,1.688,1.688,1.688,1.688,17.650859007442158,0
UNT,D,20130107,000000,1.66557,1.66557,1.54175,1.62622,1260.7756433887255,0
UNT,D,20130108,000000,1.68246,1.78358,1.68246,1.78358,78.16808989010097,0
UNT,D,20130109,000000,1.78358,1.78358,1.78358,1.78358,71.86421167315734,0
UNT,D,20130110,000000,1.78358,1.78358,1.78358,1.78358,107.16592968804166,0
UNT,D,20130111,000000,1.78358,1.78358,1.72734,1.72734,519.4395650761548,0
UNT,D,20130114,000000,1.78358,1.78358,1.78358,1.78358,17.650859007442158,0
UNT,D,20130115,000000,1.78358,1.78358,1.78358,1.78358,35.301718014884315,0
UNT,D,20130116,000000,1.78358,1.78358,1.78358,1.78358,25.215512867774507,0
UNT,D,20130117,000000,1.78358,1.78358,1.78358,1.78358,7.564653860332352,0
UNT,D,20130118,000000,1.688,1.688,1.688,1.688,185.33401957814263,0
UNT,D,20130123,000000,1.688,1.688,1.688,1.688,17.650859007442158,0
UNT,D,20130124,000000,1.688,1.688,1.688,1.688,7.564653860332352,0
UNT,D,20130125,000000,1.688,1.688,1.68246,1.688,1108.2217905386897,0
UNT,D,20130129,000000,1.74996,1.78358,1.74996,1.78358,23776.96785866842,0
UNT,D,20130130,000000,1.78358,1.78358,1.77812,1.78358,931.713200464268,0
UNT,D,20130131,000000,1.78358,1.78358,1.77812,1.78358,2510.2043059869525,0
UNT,D,20130201,000000,1.78358,1.78358,1.78358,1.78358,112.20903226159656,0
UNT,D,20130204,000000,1.78358,1.78358,1.78358,1.78358,7.564653860332352,0
UNT,D,20130205,000000,1.78358,1.78358,1.64874,1.64874,990.9696557035383,0
UNT,D,20130206,000000,1.67119,1.67119,1.67119,1.67119,35.301718014884315,0
UNT,D,20130207,000000,1.6317,1.6317,1.5193,1.5193,25.215512867774507,0
UNT,D,20130208,000000,1.53048,1.57546,1.53048,1.57546,248.37280174757893,0
UNT,D,20130211,000000,1.57546,1.69935,1.57546,1.69935,63.038782169436274,0
UNT,D,20130214,000000,1.72734,1.72734,1.72734,1.72734,17.650859007442158,0
UNT,D,20130215,000000,1.72734,1.72734,1.72734,1.72734,17.650859007442158,0
UNT,D,20130218,000000,1.72188,1.72188,1.72188,1.72188,8.825429503721079,0
UNT,D,20130219,000000,1.72188,1.72188,1.60362,1.71625,52.952577022326466,0
UNT,D,20130220,000000,1.60362,1.71625,1.54731,1.71625,175.24781443103285,0
UNT,D,20130221,000000,1.65992,1.65992,1.60362,1.60362,25.215512867774507,0
UNT,D,20130225,000000,1.54731,1.54731,1.49114,1.49114,107.16592968804166,0
UNT,D,20130226,000000,1.49114,1.49114,1.49114,1.49114,300.06460312651666,0
UNT,D,20130227,000000,1.47989,1.47989,1.23797,1.32228,5525.979644972784,0
UNT,D,20130228,000000,1.29413,1.29413,1.27731,1.27731,4300.505719598943,0
UNT,D,20130301,000000,1.24915,1.24915,1.06903,1.22654,3565.4735195033154,0
UNT,D,20130305,000000,1.13105,1.13105,1.12534,1.12534,789.2455527613421,0
UNT,D,20130306,000000,1.16484,1.16484,1.16484,1.16484,7.564653860332352,0
