<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIN,D,20090323,000000,4.41002,6.1741,4.41002,5.29202,40126.42941698996,0
VIN,D,20090324,000000,4.91889,5.29202,4.46424,5.29202,2798.602867152696,0
VIN,D,20090325,000000,4.88499,5.76691,4.88499,5.03416,4721.335298519476,0
VIN,D,20090326,000000,5.02058,5.42768,4.61356,5.42768,2302.850359257057,0
VIN,D,20090327,000000,5.08846,5.08846,5.08846,5.08846,736.8629087580017,0
VIN,D,20090330,000000,4.88499,5.42768,4.88499,5.08846,2049.4384073302786,0
VIN,D,20090331,000000,5.41412,5.75334,5.41412,5.52938,4859.112670440891,0
VIN,D,20090401,000000,5.29202,5.52938,5.29202,5.49557,841.426092805458,0
VIN,D,20090402,000000,5.49557,5.56344,5.49557,5.56344,3742.131833792745,0
VIN,D,20090403,000000,5.74651,5.74651,5.32591,5.32591,5405.301537700583,0
VIN,D,20090406,000000,5.69229,5.69912,5.33941,5.33941,2077.7319747783863,0
VIN,D,20090407,000000,5.33941,5.76691,5.33941,5.76009,4363.360162545252,0
VIN,D,20090408,000000,5.76691,6.10605,5.35989,5.42768,5791.570241123024,0
VIN,D,20090409,000000,5.42768,5.73302,5.08846,5.12237,3798.71896868896,0
VIN,D,20090414,000000,5.15626,5.29202,5.08846,5.08846,13869.998825118553,0
VIN,D,20090415,000000,5.76009,5.76009,5.10878,5.28511,11353.101477341403,0
VIN,D,20090416,000000,5.16309,5.16309,4.55935,4.73557,14863.964151124419,0
VIN,D,20090417,000000,4.88499,4.93256,4.71534,4.71534,5324.111300675492,0
VIN,D,20090420,000000,4.74923,4.74923,4.37603,4.37603,3491.1801920787884,0
VIN,D,20090421,000000,4.34214,4.34214,4.17256,4.17256,1476.186127728891,0
VIN,D,20090422,000000,4.24044,4.34214,4.24044,4.30824,2783.841005875327,0
VIN,D,20090423,000000,4.53886,4.53886,4.4574,4.4574,3640.0289599581215,0
VIN,D,20090424,000000,4.64731,4.64731,4.46424,4.46424,215.27714362713132,0
VIN,D,20090427,000000,4.61356,4.88499,4.61356,4.88499,401.0305646996782,0
VIN,D,20090428,000000,4.83077,4.83077,4.68136,4.68136,316.14986235526726,0
VIN,D,20090429,000000,4.68136,4.88499,4.67461,4.67461,3615.425857829356,0
VIN,D,20090430,000000,5.02058,5.02058,4.17939,4.17939,6848.273477555503,0
VIN,D,20090504,000000,5.01383,5.02058,4.57967,4.57967,11562.227845436737,0
VIN,D,20090505,000000,5.00693,5.00693,4.64731,4.64731,1109.5999060095726,0
VIN,D,20090506,000000,4.58641,4.68136,4.41002,4.68136,3904.5123078429265,0
VIN,D,20090507,000000,4.88499,4.88499,4.54562,4.54562,4701.652816816463,0
VIN,D,20090508,000000,4.83077,4.83077,4.43035,4.65437,2898.2454307743888,0
VIN,D,20090511,000000,4.67461,4.67461,4.34895,4.41002,10207.82707324526,0
VIN,D,20090512,000000,4.40311,4.40311,4.2606,4.27434,8030.452534845071,0
VIN,D,20090513,000000,4.34895,4.34895,4.07079,4.07079,10143.85900771025,0
VIN,D,20090514,000000,4.27434,4.27434,4.11143,4.11143,2730.9443362984534,0
VIN,D,20090515,000000,4.13866,4.13866,4.10469,4.10469,656.9028268393549,0
VIN,D,20090518,000000,4.34214,4.34214,4.10469,4.10469,3533.005465697744,0
VIN,D,20090519,000000,4.27434,4.27434,4.01657,4.01657,5749.744967503958,0
VIN,D,20090520,000000,4.21321,4.21321,4.01657,4.03688,140.2376821342485,0
