<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOX,D,20111011,000000,10.311,10.6546,9.96641,9.96641,34291.8696767315,0
VOX,D,20111012,000000,9.96641,9.96641,9.41727,9.82248,39425.26225011493,0
VOX,D,20111013,000000,9.82918,10.2081,9.75998,10.2081,4342.726649731134,0
VOX,D,20111014,000000,10.311,10.6345,10.1745,10.311,21900.021461889515,0
VOX,D,20111017,000000,10.311,10.311,9.62282,10.1045,3794.2466846748785,0
VOX,D,20111018,000000,10.0709,10.0709,8.93625,9.62282,1237.0478865554514,0
VOX,D,20111019,000000,9.69176,9.69176,9.62282,9.62282,871.3945765179476,0
VOX,D,20111020,000000,9.62282,9.62282,9.45172,9.45172,147.21107287224183,0
VOX,D,20111021,000000,9.45172,10.187,9.24456,10.187,8495.503528014213,0
VOX,D,20111024,000000,9.96641,9.96641,9.96641,9.96641,11.871860715503374,0
VOX,D,20111025,000000,9.96641,9.96641,9.87127,9.96136,740.8041086474105,0
VOX,D,20111026,000000,9.96136,9.96136,9.86369,9.86369,30.86683786030877,0
VOX,D,20111027,000000,9.86369,9.86369,9.75998,9.75998,51.04900107666452,0
VOX,D,20111028,000000,9.75998,9.75998,9.62282,9.62282,3078.3734835300243,0
VOX,D,20111031,000000,9.62282,9.62282,9.48627,9.62282,1760.5969441091504,0
VOX,D,20111102,000000,9.45172,9.45172,8.93625,9.03903,3457.0858403545826,0
VOX,D,20111103,000000,9.27992,9.51918,9.27992,9.48627,1613.3858712369085,0
VOX,D,20111104,000000,9.51918,9.62282,9.48627,9.48627,283.7374711005306,0
VOX,D,20111107,000000,9.48627,9.54017,9.48627,9.53431,204.19600430665807,0
VOX,D,20111108,000000,9.5553,9.5553,9.07271,9.07271,9457.124245969988,0
VOX,D,20111109,000000,9.27992,9.27992,9.27992,9.27992,11.871860715503374,0
VOX,D,20111110,000000,9.27992,9.6649,9.27992,9.65819,3806.1185453903818,0
VOX,D,20111114,000000,9.65819,9.6649,9.51407,9.51407,1460.238868006915,0
VOX,D,20111115,000000,9.41727,9.41727,9.31274,9.31274,42.73869857581215,0
VOX,D,20111116,000000,9.31274,9.31274,9.27992,9.27992,72.41835036457059,0
VOX,D,20111117,000000,9.27992,9.27992,6.88081,7.56191,18954.612818372905,0
VOX,D,20111118,000000,8.24217,8.24217,6.73635,6.87364,30653.144367429708,0
VOX,D,20111121,000000,6.87364,6.87364,6.87364,6.87364,11.871860715503374,0
