<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRC,D,20210506,000000,50.4067,53.9359,48.0819,48.9223,22633.14121236638,0
VRC,D,20210507,000000,49.0156,50.4161,47.6151,49.109,32761.340696732306,0
VRC,D,20210510,000000,50.3134,50.3227,48.9223,49.109,130808.6525409431,0
VRC,D,20210511,000000,50.3227,50.3227,48.0819,48.0913,972.5470740063731,0
VRC,D,20210512,000000,48.0913,48.5487,48.0819,48.5487,1377.4179924803916,0
VRC,D,20210513,000000,49.4823,49.4823,48.5487,48.5487,304.18873239846914,0
VRC,D,20210514,000000,48.0819,48.5487,47.4284,47.6338,487.34462408909667,0
VRC,D,20210517,000000,47.6338,47.6899,47.5218,47.6805,694.0644316697463,0
VRC,D,20210518,000000,47.4845,48.6516,47.3538,47.4471,1334.574509043988,0
VRC,D,20210519,000000,47.8019,48.5487,47.8019,48.5487,127.4593632233022,0
VRC,D,20210520,000000,47.6246,49.2023,47.6151,49.2023,552.6809363296129,0
VRC,D,20210521,000000,49.2023,50.4161,49.0156,50.4161,357.74308669397425,0
VRC,D,20210524,000000,50.4161,50.9763,48.5487,50.4161,578.3870263914554,0
VRC,D,20210525,000000,47.7925,49.2957,47.7925,48.25,1269.2381968034713,0
VRC,D,20210526,000000,49.2023,49.2023,47.7272,48.5394,1313.1527673257856,0
VRC,D,20210527,000000,48.5394,48.5487,48.0819,48.0819,1662.3271573324791,0
VRC,D,20210528,000000,48.5114,48.5394,47.7645,47.7645,422.0083118485804,0
VRC,D,20210531,000000,47.7645,48.3995,46.6814,48.3995,352.38765126442377,0
VRC,D,20210601,000000,48.5394,48.5394,47.5218,48.5302,475.5626661440856,0
VRC,D,20210602,000000,48.5302,48.5302,48.5302,48.5302,12.853045030921232,0
VRC,D,20210604,000000,48.2687,48.5487,47.8019,48.5487,573.031590961905,0
VRC,D,20210607,000000,48.5487,48.5487,47.6246,48.1754,800.1020531748466,0
VRC,D,20210608,000000,48.5487,48.5487,48.4554,48.4554,370.59613172489543,0
VRC,D,20210609,000000,50.0427,50.0427,48.5487,48.5487,81.40261852916778,0
VRC,D,20210610,000000,48.5487,49.2957,48.4554,48.5487,2890.864044871367,0
VRC,D,20210611,000000,50.136,50.136,50.0427,50.0427,93.18457647417891,0
VRC,D,20210614,000000,50.1827,50.1827,49.0156,49.4823,1185.6934041024833,0
VRC,D,20210615,000000,50.1827,50.1827,49.4918,49.4918,400.58657013037833,0
VRC,D,20210616,000000,49.4823,49.6691,49.0156,49.0624,372.73830589671564,0
VRC,D,20210617,000000,50.1827,50.1827,49.0156,49.9493,407.013092645839,0
VRC,D,20210618,000000,49.9493,49.9493,49.4823,49.4823,267.7717714775257,0
VRC,D,20210621,000000,48.5487,48.7356,48.3621,48.3621,794.746617745296,0
VRC,D,20210622,000000,48.5487,48.5675,48.5487,48.5487,128.5304503092123,0
VRC,D,20210623,000000,48.6422,49.9586,47.9139,49.9586,1120.3570918619673,0
VRC,D,20210624,000000,49.9306,49.9306,48.5487,49.0156,12324.99909756755,0
VRC,D,20210625,000000,49.0156,49.4823,48.4554,49.3518,2136.8187363906545,0
VRC,D,20210628,000000,48.7448,48.7542,48.5487,48.5487,925.4192422263286,0
VRC,D,20210629,000000,48.3995,48.7356,47.6619,47.6619,4652.802301193485,0
VRC,D,20210630,000000,48.5487,48.5487,47.6619,48.2687,1292.8021126934937,0
VRC,D,20210701,000000,47.7552,49.2023,47.7552,49.0156,2011.5015473391727,0
VRC,D,20210702,000000,48.5487,49.3891,48.5487,49.3891,2891.935131957277,0
VRC,D,20210705,000000,49.3891,49.9026,48.7356,49.4823,2792.3240329676373,0
VRC,D,20210706,000000,49.4823,50.3227,49.4823,49.9493,4616.385340272542,0
VRC,D,20210707,000000,50.3227,51.3403,49.9493,51.0509,17027.071404712897,0
VRC,D,20210708,000000,51.0696,51.079,50.4161,50.6027,4728.849484293102,0
VRC,D,20210709,000000,50.8829,50.9669,49.9493,50.4721,5135.862576938942,0
VRC,D,20210712,000000,50.4721,51.163,50.4628,51.0696,2215.0080936620925,0
VRC,D,20210713,000000,51.0602,51.8633,50.6122,50.6215,37490.190181025406,0
VRC,D,20210714,000000,51.0696,51.2096,47.7459,50.4161,4965.559730279236,0
VRC,D,20210715,000000,50.8829,51.1164,50.248,50.9016,477.7048403159057,0
VRC,D,20210716,000000,50.7429,50.7429,50.2854,50.6495,736.9079151061504,0
VRC,D,20210719,000000,50.6027,50.6027,49.4358,49.4823,4166.5287641903,0
VRC,D,20210720,000000,49.3891,50.1827,49.3891,49.4823,1247.8164550852696,0
VRC,D,20210721,000000,49.5758,50.108,49.2023,50.108,1916.1747966931734,0
VRC,D,20210722,000000,50.3694,50.3788,49.2023,49.9398,875.0781491885538,0
VRC,D,20210723,000000,49.9398,50.3507,49.2023,49.4265,12965.509174941793,0
VRC,D,20210726,000000,49.884,49.884,49.2023,49.2023,435.9324439654118,0
VRC,D,20210727,000000,49.2117,49.2957,49.0343,49.249,1636.6210672706368,0
VRC,D,20210728,000000,49.4637,49.4637,49.0436,49.0436,722.9837829893193,0
VRC,D,20210729,000000,49.2863,49.6598,49.0343,49.2023,8214.166861844576,0
VRC,D,20210730,000000,49.4637,49.4823,49.0156,49.249,9786.522703960605,0
VRC,D,20210802,000000,49.4731,49.5758,49.4731,49.5758,375.951567154446,0
VRC,D,20210803,000000,50.3227,50.4628,49.9493,50.136,6083.774647969382,0
VRC,D,20210804,000000,50.4161,50.4161,50.136,50.4161,2625.2344475656614,0
VRC,D,20210805,000000,49.5758,50.4161,49.5758,49.9493,2252.4961416689457,0
VRC,D,20210806,000000,50.0239,50.0239,49.4731,50.0239,3372.8532335309133,0
VRC,D,20210809,000000,49.9493,51.7138,49.9493,51.331,16943.526612011912,0
VRC,D,20210810,000000,51.3497,51.3497,50.1827,51.163,4952.706685248314,0
VRC,D,20210811,000000,51.331,51.331,50.6027,50.8829,702.6331283570273,0
VRC,D,20210812,000000,50.8829,50.9016,49.9493,49.9493,1866.9047907413087,0
VRC,D,20210813,000000,50.4067,50.8082,49.996,50.4161,480.918101573636,0
VRC,D,20210816,000000,50.7896,51.2189,50.4254,50.444,1408.4795179717848,0
VRC,D,20210817,000000,50.8829,50.8829,49.968,50.276,1120.3570918619673,0
VRC,D,20210818,000000,50.3227,50.3227,49.9493,49.996,847.2298849548911,0
VRC,D,20210819,000000,50.0427,50.2293,49.9493,50.2293,2604.883792933369,0
VRC,D,20210820,000000,50.2293,50.2293,49.996,50.052,534.4724558691412,0
VRC,D,20210823,000000,50.276,51.5364,49.9493,51.163,2602.7416187615495,0
VRC,D,20210824,000000,51.2563,51.5271,50.6682,51.4244,359.88526086579446,0
VRC,D,20210825,000000,51.3403,51.3497,50.7055,51.0696,3914.8232990014244,0
VRC,D,20210826,000000,50.8829,51.163,50.7429,51.1164,4338.973785021825,0
VRC,D,20210827,000000,51.2563,51.2563,50.8735,50.8829,4142.964848300277,0
VRC,D,20210830,000000,51.0229,51.0229,50.6027,50.8362,2119.681343016093,0
VRC,D,20210831,000000,50.4254,50.8362,50.4161,50.8362,1311.0105931539656,0
VRC,D,20210901,000000,50.5002,50.7896,49.4823,50.4161,3259.3180024244425,0
VRC,D,20210902,000000,50.7896,50.7896,49.8652,50.4067,1000.3953382400358,0
VRC,D,20210903,000000,50.4161,50.8176,49.9493,50.5842,2718.4190240398407,0
VRC,D,20210906,000000,50.8362,50.8362,50.0053,50.3227,2648.798363455684,0
VRC,D,20210907,000000,50.052,50.3227,49.8746,50.2293,6966.350406759308,0
VRC,D,20210908,000000,50.2293,50.3227,49.884,50.2293,631.9413806869605,0
VRC,D,20210909,000000,50.4161,50.4161,49.9493,49.9493,2542.760741950583,0
VRC,D,20210910,000000,49.884,50.2293,49.884,50.136,3016.181233922849,0
VRC,D,20210913,000000,50.4161,50.4161,49.9119,49.9493,1237.1055842261685,0
