<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAS,D,20010524,000000,3.19994,3.23458,3.04753,3.16522,76829.61979527737,0
WAS,D,20010525,000000,3.18607,3.18607,3.0683,3.08898,7892.818083875485,0
WAS,D,20010528,000000,3.09603,3.09603,2.99222,3.08217,15266.799449590624,0
WAS,D,20010529,000000,3.02678,3.0683,2.94354,3.02678,16139.65227298322,0
WAS,D,20010530,000000,3.01978,3.01978,2.88816,2.9575,3037.574253750363,0
WAS,D,20010531,000000,2.92278,2.92278,2.85343,2.85343,14841.980123310932,0
WAS,D,20010601,000000,2.84672,2.88816,2.81199,2.81199,11696.459975178852,0
WAS,D,20010604,000000,2.85343,2.85343,2.64572,2.64572,4823.904699498065,0
WAS,D,20010605,000000,2.60427,2.61115,2.25801,2.36872,26436.297746816213,0
WAS,D,20010606,000000,2.34125,2.36175,2.32023,2.35485,4104.265403615306,0
WAS,D,20010607,000000,2.29945,2.34797,2.27181,2.33409,1983.6508978445652,0
WAS,D,20010608,000000,2.32023,2.33409,2.27181,2.33409,1489.1890590605901,0
WAS,D,20010612,000000,2.20254,2.29265,2.13317,2.13317,14715.462892261305,0
WAS,D,20010613,000000,2.14715,2.14715,2.1194,2.1194,4533.727564061433,0
WAS,D,20010615,000000,2.13317,2.16101,2.06408,2.06408,10115.574941319897,0
WAS,D,20010618,000000,2.06408,2.06408,1.92556,1.92556,5556.311789340071,0
WAS,D,20010619,000000,1.91167,1.91167,1.57913,1.67613,30340.921281251234,0
WAS,D,20010620,000000,1.65546,1.65546,1.55146,1.55146,15086.889625619546,0
WAS,D,20010621,000000,1.55146,1.57913,1.53759,1.57913,3783.9098460932264,0
WAS,D,20010622,000000,1.55837,1.5929,1.54449,1.54449,19841.151812612912,0
WAS,D,20010625,000000,1.5929,1.66933,1.57231,1.66933,70973.84520216717,0
WAS,D,20010626,000000,1.71069,1.71069,1.64838,1.64838,2641.7726410148202,0
WAS,D,20010627,000000,1.64838,1.64838,1.64838,1.64838,254.19517064245727,0
WAS,D,20010628,000000,1.57913,1.57913,1.51683,1.51683,1426.5107978063736,0
WAS,D,20010629,000000,1.51683,1.58618,1.51683,1.57913,6620.681522121486,0
WAS,D,20010702,000000,1.55146,1.55146,1.55146,1.55146,1745.7056467866373,0
WAS,D,20010704,000000,1.51683,1.57913,1.51683,1.57913,299.46280377056684,0
WAS,D,20010705,000000,1.67613,1.71766,1.67613,1.68311,2791.50404290014,0
WAS,D,20010710,000000,1.68311,1.68311,1.64838,1.64838,4794.886985954433,0
WAS,D,20010711,000000,1.68311,1.68311,1.68311,1.68311,1016.7806825698498,0
WAS,D,20010713,000000,1.54449,1.54449,1.54449,1.54449,3384.626107732547,0
WAS,D,20010716,000000,1.71069,1.75926,1.71069,1.75926,690.6215823391063,0
WAS,D,20010717,000000,1.75237,1.78701,1.75237,1.78701,887.9420344360011,0
WAS,D,20010718,000000,1.78701,1.78701,1.78701,1.78701,1.160708541746422,0
WAS,D,20010719,000000,1.78701,1.78701,1.64838,1.78701,33.66054771064531,0
WAS,D,20010723,000000,1.68311,1.68311,1.68311,1.68311,4649.798418236065,0
WAS,D,20010724,000000,1.73153,1.73153,1.73153,1.73153,1.160708541746422,0
WAS,D,20010725,000000,1.72473,1.72473,1.71766,1.71766,7555.051898227309,0
WAS,D,20010726,000000,1.72473,1.72473,1.72473,1.72473,48.749758753348495,0
WAS,D,20010727,000000,1.64838,1.64838,1.64838,1.64838,8689.064143513522,0
WAS,D,20010730,000000,1.63461,1.63461,1.63461,1.63461,1511.2425213538454,0
WAS,D,20010731,000000,1.57913,1.64148,1.54449,1.64148,11948.333728737329,0
WAS,D,20010802,000000,1.55837,1.55837,1.50305,1.50305,4732.208724700113,0
WAS,D,20010803,000000,1.57913,1.57913,1.57913,1.57913,45.26763312810953,0
WAS,D,20010807,000000,1.41284,1.51683,1.41284,1.51683,2911.0570227000117,0
WAS,D,20010809,000000,1.3782,1.3782,1.3782,1.3782,13807.788812615276,0
WAS,D,20010810,000000,1.44755,1.51683,1.44755,1.51683,2541.9517064245724,0
WAS,D,20010813,000000,1.54449,1.54449,1.17747,1.36442,36847.85336628172,0
WAS,D,20010814,000000,1.25363,1.2675,1.23278,1.2675,12355.74242689082,0
WAS,D,20010816,000000,1.2675,1.2675,1.17058,1.26061,10924.588794916977,0
WAS,D,20010817,000000,1.32289,1.32289,1.25363,1.25363,1836.2409130427734,0
WAS,D,20010820,000000,1.25363,1.25363,1.25363,1.25363,7399.516953633325,0
WAS,D,20010821,000000,1.30912,1.30912,1.23975,1.23975,6327.022261059615,0
WAS,D,20010822,000000,1.20521,1.27432,1.20521,1.27432,7071.036436319054,0
WAS,D,20010823,000000,1.30912,1.30912,1.27432,1.27432,2876.2357664476117,0
WAS,D,20010827,000000,1.30912,1.31599,1.23975,1.31599,1597.1349534430299,0
WAS,D,20010831,000000,1.20521,1.27432,1.20521,1.24664,10727.268342820733,0
WAS,D,20010903,000000,1.21901,1.21901,1.19832,1.19832,4134.4438257006495,0
WAS,D,20010904,000000,1.20521,1.20521,1.20521,1.20521,1240.797431126942,0
WAS,D,20010905,000000,1.28145,1.28145,1.28145,1.28145,725.4428385914958,0
WAS,D,20010906,000000,1.23975,1.23975,1.23975,1.23975,725.4428385914958,0
WAS,D,20010907,000000,1.23975,1.23975,1.23975,1.23975,1452.0463857247657,0
WAS,D,20010912,000000,1.03204,1.23975,1.03204,1.23975,6540.592632740967,0
WAS,D,20010917,000000,1.10131,1.21201,1.10131,1.21201,240.26666814150764,0
WAS,D,20010918,000000,1.10131,1.21901,1.10131,1.21901,1134.0122452862145,0
WAS,D,20010919,000000,1.20521,1.20521,1.20521,1.20521,289.01642689485715,0
WAS,D,20010925,000000,1.02507,1.13593,1.02507,1.13593,9303.07896209737,0
WAS,D,20010926,000000,1.23975,1.23975,1.03204,1.1636,2209.989063485165,0
WAS,D,20010927,000000,1.17058,1.17058,1.03204,1.12199,1222.2260944589264,0
WAS,D,20010928,000000,1.10131,1.17747,1.10131,1.17747,1455.5285113500058,0
WAS,D,20011002,000000,1.00422,1.06659,1.00422,1.06659,443.3906629471289,0
WAS,D,20011005,000000,0.997403,1.09425,0.997403,1.09425,2977.217409579468,0
WAS,D,20011008,000000,0.962772,1.06659,0.962772,1.06659,2926.1462337426838,0
