<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIK,D,19970220,000000,5.89698,5.89698,5.89698,5.89698,224427.07378375,0
WIK,D,19970221,000000,6.48997,6.48997,6.48997,6.48997,76431.121538301,0
WIK,D,19970224,000000,7.13243,7.13243,7.13243,7.13243,0,0
WIK,D,19970225,000000,7.86541,7.86541,7.86541,7.86541,320117.45901043,0
WIK,D,19970226,000000,8.45849,8.45849,8.45849,8.45849,634060.28207262,0
WIK,D,19970227,000000,7.61834,7.61834,7.61834,7.61834,120604.24121063,0
WIK,D,19970228,000000,6.88535,6.88535,6.88535,6.88535,162730.13021415,0
WIK,D,19970303,000000,6.29236,6.29236,6.29236,6.29236,292801.04841399,0
WIK,D,19970304,000000,6.48997,6.48997,6.48997,6.48997,190620.70665332,0
WIK,D,19970305,000000,6.48997,6.48997,6.48997,6.48997,142773.16090128,0
WIK,D,19970306,000000,6.48997,6.48997,6.48997,6.48997,45152.025371435,0
WIK,D,19970307,000000,6.73704,6.73704,6.73704,6.73704,206824.41974003,0
WIK,D,19970310,000000,6.93474,6.93474,6.93474,6.93474,58281.362746875,0
WIK,D,19970311,000000,7.61834,7.61834,7.61834,7.61834,138715.17321351,0
WIK,D,19970312,000000,7.56896,7.56896,7.56896,7.56896,169462.46003422,0
WIK,D,19970313,000000,6.98412,6.98412,6.98412,6.98412,91464.148121865,0
WIK,D,19970314,000000,6.58882,6.58882,6.58882,6.58882,107626.68128132,0
WIK,D,19970317,000000,6.48997,6.48997,6.48997,6.48997,89916.959426758,0
WIK,D,19970318,000000,6.88535,6.88535,6.88535,6.88535,109623.31946809,0
WIK,D,19970319,000000,6.39113,6.39113,6.39113,6.39113,53436.250164021,0
WIK,D,19970320,000000,6.53944,6.53944,6.53944,6.53944,54142.191773956,0
WIK,D,19970321,000000,6.48997,6.48997,6.48997,6.48997,55322.290831898,0
WIK,D,19970324,000000,6.53944,6.53944,6.53944,6.53944,51543.150080047,0
WIK,D,19970325,000000,6.73704,6.73704,6.73704,6.73704,96583.401363242,0
WIK,D,19970326,000000,6.98412,6.98412,6.98412,6.98412,88885.108106902,0
WIK,D,19970327,000000,7.27242,7.27242,7.27242,7.27242,120050.07704683,0
WIK,D,19970401,000000,6.73704,6.73704,6.73704,6.73704,79285.478781137,0
WIK,D,19970402,000000,6.39113,6.39113,6.39113,6.39113,96935.19559886,0
WIK,D,19970403,000000,6.48997,6.48997,6.48997,6.48997,122737.36144198,0
WIK,D,19970404,000000,6.48997,6.48997,6.48997,6.48997,54706.945061904,0
WIK,D,19970407,000000,6.88535,6.88535,6.88535,6.88535,152121.00438617,0
WIK,D,19970408,000000,6.48997,6.48997,6.48997,6.48997,65417.255853967,0
WIK,D,19970409,000000,6.73704,6.73704,6.73704,6.73704,70896.539316411,0
WIK,D,19970410,000000,6.68767,6.68767,6.68767,6.68767,125561.12788172,0
WIK,D,19970411,000000,6.78651,6.78651,6.78651,6.78651,50188.918758321,0
WIK,D,19970414,000000,6.68767,6.68767,6.68767,6.68767,81439.777260789,0
WIK,D,19970415,000000,6.88535,6.88535,6.88535,6.88535,110788.12312448,0
WIK,D,19970416,000000,7.08296,7.08296,7.08296,7.08296,168871.82222057,0
WIK,D,19970417,000000,7.22303,7.22303,7.22303,7.22303,126403.55153625,0
WIK,D,19970418,000000,7.08296,7.08296,7.08296,7.08296,94362.038430647,0
WIK,D,19970421,000000,7.27242,7.27242,7.27242,7.27242,115516.75534169,0
WIK,D,19970422,000000,7.22303,7.22303,7.22303,7.22303,68082.185431471,0
WIK,D,19970423,000000,7.22303,7.22303,7.22303,7.22303,125714.08189721,0
WIK,D,19970424,000000,7.27242,7.27242,7.27242,7.27242,76487.596867096,0
WIK,D,19970425,000000,7.17356,7.17356,7.17356,7.17356,51691.397818133,0
WIK,D,19970428,000000,7.08296,7.08296,7.08296,7.08296,51487.851320601,0
WIK,D,19970429,000000,6.88535,6.88535,6.88535,6.88535,87537.936201276,0
WIK,D,19970430,000000,7.27242,7.27242,7.27242,7.27242,134896.02910376,0
WIK,D,19970505,000000,7.66771,7.66771,7.66771,7.66771,110244.54808483,0
WIK,D,19970506,000000,7.66771,7.66771,7.66771,7.66771,62653.494451071,0
WIK,D,19970507,000000,7.08296,7.08296,7.08296,7.08296,97538.775675354,0
WIK,D,19970508,000000,7.08296,7.08296,7.08296,7.08296,55424.652365338,0
WIK,D,19970509,000000,7.22303,7.22303,7.22303,7.22303,47876.959985784,0
WIK,D,19970512,000000,7.17356,7.17356,7.17356,7.17356,44374.313031157,0
WIK,D,19970513,000000,7.08296,7.08296,7.08296,7.08296,71829.558810875,0
WIK,D,19970514,000000,6.98412,6.98412,6.98412,6.98412,35884.188602341,0
WIK,D,19970515,000000,7.17356,7.17356,7.17356,7.17356,47091.011660057,0
WIK,D,19970516,000000,7.37126,7.37126,7.37126,7.37126,157507.33886997,0
WIK,D,19970519,000000,7.37126,7.37126,7.37126,7.37126,33087.483257648,0
