<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTN,D,20151109,000000,10.8164,10.9898,10.4113,10.5036,41244.226878393,0
WTN,D,20151110,000000,10.5156,10.932,10.1217,10.1802,17055.12571395,0
WTN,D,20151112,000000,10.7002,10.7002,10.1802,10.3246,921.01652424309,0
WTN,D,20151113,000000,10.4113,10.4113,10.295,10.3535,742.20592015275,0
WTN,D,20151116,000000,10.3535,10.3535,10.2373,10.2373,410.12908398498,0
WTN,D,20151117,000000,10.3535,10.3535,10.2373,10.2373,13199.34467178,0
WTN,D,20151118,000000,10.3535,10.3535,10.1513,10.1802,403.03342509251,0
WTN,D,20151119,000000,10.1513,10.2373,10.1513,10.2373,20012.596340333,0
WTN,D,20151120,000000,10.3535,10.3535,10.2373,10.2373,8645.35079459,0
WTN,D,20151123,000000,10.2373,10.2373,9.83273,9.83273,45741.455484443,0
WTN,D,20151124,000000,10.116,10.1217,10.1104,10.1217,60027.855098549,0
WTN,D,20151125,000000,10.0061,10.0061,10.0061,10.0061,1.4191317784947,0
WTN,D,20151126,000000,10.1217,10.1217,10.1217,10.1217,1182.1367714861,0
WTN,D,20151127,000000,10.1217,10.1217,10.1217,10.1217,691.11717612694,0
WTN,D,20151130,000000,10.0061,10.3246,10.0061,10.3246,1823.5843353657,0
WTN,D,20151201,000000,9.86162,10.1217,9.34092,9.978,5357.2224638177,0
WTN,D,20151202,000000,9.978,9.978,9.83273,9.83273,357.62120818068,0
WTN,D,20151203,000000,9.29508,9.37052,9.29508,9.37052,10403.655068145,0
WTN,D,20151204,000000,9.29508,9.83273,8.70461,9.83273,11012.462601119,0
WTN,D,20151207,000000,9.86162,9.86162,9.28313,9.28313,242.6715341226,0
WTN,D,20151208,000000,9.39942,9.9195,9.39942,9.83273,13914.587088141,0
WTN,D,20151209,000000,9.31202,9.83273,9.31202,9.83273,3650.0069342885,0
WTN,D,20151210,000000,9.82639,9.83273,9.82639,9.83273,801.80945484953,0
WTN,D,20151211,000000,9.83273,9.83273,9.83273,9.83273,36037.432383096,0
WTN,D,20151214,000000,9.83273,9.83273,9.25424,9.25424,66046.392971145,0
WTN,D,20151215,000000,8.90756,9.41074,8.90756,9.19012,90814.499901214,0
WTN,D,20151216,000000,9.16756,9.4276,8.96468,9.19012,2145.7272490841,0
