<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WWL,D,19980311,000000,25.0723,25.0723,25.0723,25.0723,116770.27679034144,0
WWL,D,19980312,000000,23.8785,23.8785,23.8785,23.8785,79170.69774152427,0
WWL,D,19980313,000000,25.3703,25.3703,25.3703,25.3703,77518.52820288211,0
WWL,D,19980316,000000,26.267,26.267,26.267,26.267,73948.43974737539,0
WWL,D,19980317,000000,27.5802,27.5802,27.5802,27.5802,54822.400454383824,0
WWL,D,19980318,000000,28.6546,28.6546,28.6546,28.6546,65346.07583193775,0
WWL,D,19980319,000000,28.5352,28.5352,28.5352,28.5352,52939.53783847662,0
WWL,D,19980320,000000,27.4617,27.4617,27.4617,27.4617,53342.11987527038,0
WWL,D,19980323,000000,26.267,26.267,26.267,26.267,19029.917177465177,0
WWL,D,19980324,000000,25.3703,25.3703,25.3703,25.3703,32595.574799339105,0
WWL,D,19980325,000000,25.4304,25.4304,25.4304,25.4304,26019.6912488898,0
WWL,D,19980326,000000,25.7886,25.7886,25.7886,25.7886,47999.99194881719,0
WWL,D,19980327,000000,25.5498,25.5498,25.5498,25.5498,25187.386813268433,0
WWL,D,19980330,000000,25.6701,25.6701,25.6701,25.6701,48266.87217545753,0
WWL,D,19980331,000000,25.5498,25.5498,25.5498,25.5498,39264.18792006096,0
WWL,D,19980401,000000,25.5498,25.5498,25.5498,25.5498,42504.06863752242,0
WWL,D,19980402,000000,25.6701,25.6701,25.6701,25.6701,22399.84546299244,0
WWL,D,19980406,000000,25.5498,25.5498,25.5498,25.5498,9702.67942611455,0
WWL,D,19980407,000000,25.7276,25.7276,25.7276,25.7276,21892.09452332767,0
WWL,D,19980408,000000,25.7886,25.7886,25.7886,25.7886,29465.386378419385,0
WWL,D,19980409,000000,25.6701,25.6701,25.6701,25.6701,41882.10200764307,0
WWL,D,19980414,000000,25.6701,25.6701,25.6701,25.6701,7892.191108957317,0
WWL,D,19980415,000000,25.4897,25.4897,25.4897,25.4897,8111.575702041951,0
WWL,D,19980416,000000,25.0723,25.0723,25.0723,25.0723,8349.05386981392,0
WWL,D,19980417,000000,24.4763,24.4763,24.4763,24.4763,6972.811345154071,0
WWL,D,19980420,000000,24.4763,24.4763,24.4763,24.4763,11470.195503388806,0
WWL,D,19980421,000000,23.5212,23.5212,23.5212,23.5212,13816.705970659856,0
WWL,D,19980422,000000,23.2825,23.2825,23.2825,23.2825,17327.990308432374,0
WWL,D,19980423,000000,22.3858,22.3858,22.3858,22.3858,10688.779246577085,0
WWL,D,19980424,000000,23.5796,23.5796,23.5796,23.5796,17208.120376129133,0
WWL,D,19980427,000000,22.9836,22.9836,22.9836,22.9836,10537.245558570536,0
WWL,D,19980428,000000,22.0888,22.0888,22.0888,22.0888,11902.179599051253,0
WWL,D,19980429,000000,23.1613,23.1613,23.1613,23.1613,15270.977036160568,0
WWL,D,19980430,000000,23.5212,23.5212,23.5212,23.5212,20149.45711124778,0
WWL,D,19980504,000000,25.8487,25.8487,25.8487,25.8487,70857.83102108588,0
WWL,D,19980505,000000,27.4617,27.4617,27.4617,27.4617,129874.54825769059,0
WWL,D,19980506,000000,30.1473,30.1473,30.1473,30.1473,169127.42769356573,0
WWL,D,19980507,000000,31.0413,31.0413,31.0413,31.0413,231083.2199684564,0
WWL,D,19980508,000000,28.7732,28.7732,28.7732,28.7732,16737.687434256553,0
WWL,D,19980511,000000,26.8622,26.8622,26.8622,26.8622,21958.81457998749,0
WWL,D,19980512,000000,24.7743,24.7743,24.7743,24.7743,13394.899510761037,0
WWL,D,19980513,000000,25.251,25.251,25.251,25.251,8336.614537216417,0
WWL,D,19980514,000000,24.953,24.953,24.953,24.953,9443.7151384012,0
WWL,D,19980515,000000,24.2959,24.2959,24.2959,24.2959,2581.7269382074455,0
WWL,D,19980518,000000,24.3569,24.3569,24.3569,24.3569,4918.059769716989,0
WWL,D,19980519,000000,23.7582,23.7582,23.7582,23.7582,10693.302640248867,0
WWL,D,19980520,000000,23.7582,23.7582,23.7582,23.7582,3817.744259039983,0
