<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPL,D,20080529,000000,0.0776353,0.139692,0.0620578,0.124191,11692063.158046309,0
XPL,D,20080530,000000,0.118983,0.124191,0.0930958,0.0930958,1550953.891894967,0
XPL,D,20080602,000000,0.103462,0.103462,0.0827857,0.0879446,523897.6006857332,0
XPL,D,20080603,000000,0.0776353,0.0930958,0.0776353,0.0930958,311945.34373688186,0
XPL,D,20080604,000000,0.0930958,0.0930958,0.0827857,0.0879446,54653.12795698475,0
XPL,D,20080605,000000,0.0827857,0.0930958,0.0776353,0.0827857,278367.9472664494,0
XPL,D,20080606,000000,0.0776353,0.0879446,0.0724175,0.0827857,594005.2335756874,0
XPL,D,20080609,000000,0.0776353,0.0827857,0.0776353,0.0776353,245468.95417004765,0
XPL,D,20080610,000000,0.0827857,0.0827857,0.0724175,0.0724175,91246.44398846237,0
XPL,D,20080611,000000,0.0776353,0.0776353,0.0672755,0.0724175,214600.4104703009,0
XPL,D,20080612,000000,0.0724175,0.0724175,0.0672755,0.0724175,50320.86781405254,0
XPL,D,20080613,000000,0.0724175,0.0776353,0.0724175,0.0776353,717.6793588428056,0
XPL,D,20080616,000000,0.0776353,0.0776353,0.0672755,0.0672755,46766.98627921893,0
XPL,D,20080617,000000,0.0672755,0.0724175,0.0672755,0.0672755,251047.33419474855,0
XPL,D,20080618,000000,0.0672755,0.0672755,0.0620578,0.0620578,101626.0156111282,0
XPL,D,20080619,000000,0.0620578,0.0672755,0.0569158,0.0672755,58372.444700572894,0
XPL,D,20080620,000000,0.0672755,0.0672755,0.0620578,0.0672755,23484.65855503553,0
XPL,D,20080623,000000,0.0672755,0.0672755,0.0672755,0.0672755,95.21450863586139,0
XPL,D,20080624,000000,0.0620578,0.0672755,0.0620578,0.0672755,8457.428729580375,0
XPL,D,20080625,000000,0.0672755,0.0672755,0.0620578,0.0672755,133948.96093029118,0
XPL,D,20080626,000000,0.0672755,0.0672755,0.0569158,0.0620578,180956.3638438136,0
XPL,D,20080627,000000,0.0569158,0.0620578,0.0569158,0.0620578,49725.77713507817,0
XPL,D,20080630,000000,0.0672755,0.0672755,0.0672755,0.0672755,290.40425133937254,0
XPL,D,20080701,000000,0.0569158,0.0672755,0.0569158,0.0672755,24065.467057713697,0
XPL,D,20080702,000000,0.0672755,0.0672755,0.0620578,0.0672755,31004.22437455289,0
XPL,D,20080703,000000,0.0672755,0.0879446,0.0672755,0.0827857,730879.6602838037,0
XPL,D,20080704,000000,0.0827857,0.0827857,0.0672755,0.0776353,55664.78211124095,0
XPL,D,20080707,000000,0.0724175,0.0724175,0.0672755,0.0724175,73678.17696378712,0
XPL,D,20080708,000000,0.0724175,0.0776353,0.0724175,0.0724175,312235.7479882209,0
XPL,D,20080709,000000,0.0724175,0.0827857,0.0724175,0.0827857,33536.9303042669,0
XPL,D,20080710,000000,0.0776353,0.0827857,0.0724175,0.0776353,126068.77015931194,0
XPL,D,20080711,000000,0.0724175,0.0776353,0.0724175,0.0776353,12479.051538087624,0
XPL,D,20080714,000000,0.0724175,0.0776353,0.0724175,0.0724175,15810.369158984118,0
XPL,D,20080715,000000,0.0672755,0.0724175,0.0672755,0.0724175,101514.13856348164,0
XPL,D,20080716,000000,0.0672755,0.0724175,0.0672755,0.0724175,65845.59344712927,0
XPL,D,20080717,000000,0.0724175,0.0724175,0.0672755,0.0672755,69927.91550489237,0
XPL,D,20080718,000000,0.0672755,0.0724175,0.0672755,0.0672755,38865.37224380091,0
XPL,D,20080721,000000,0.0672755,0.0672755,0.0672755,0.0672755,193.99956134557124,0
XPL,D,20080722,000000,0.0672755,0.0724175,0.0672755,0.0724175,62708.2753875786,0
XPL,D,20080723,000000,0.0724175,0.0724175,0.0724175,0.0724175,2124.4737239377005,0
XPL,D,20080724,000000,0.0724175,0.0776353,0.0672755,0.0776353,11461.44647704152,0
XPL,D,20080725,000000,0.0776353,0.0776353,0.0724175,0.0724175,12978.92770842583,0
XPL,D,20080728,000000,0.0724175,0.0724175,0.0724175,0.0724175,11957.752103306228,0
XPL,D,20080729,000000,0.0724175,0.0724175,0.0724175,0.0724175,3826.4330658036647,0
XPL,D,20080730,000000,0.0724175,0.0724175,0.0724175,0.0724175,13001.541154226117,0
XPL,D,20080731,000000,0.0724175,0.0724175,0.0724175,0.0724175,40204.3262714927,0
XPL,D,20080801,000000,0.0724175,0.0724175,0.0724175,0.0724175,193.99956134557124,0
XPL,D,20080804,000000,0.0724175,0.0724175,0.0724175,0.0724175,9898.738354055753,0
XPL,D,20080805,000000,0.0724175,0.0776353,0.0724175,0.0724175,70741.99955372926,0
XPL,D,20080806,000000,0.0724175,0.0724175,0.0724175,0.0724175,105213.22222398479,0
XPL,D,20080807,000000,0.0724175,0.0776353,0.0724175,0.0724175,118702.7377349671,0
XPL,D,20080808,000000,0.0724175,0.0724175,0.0724175,0.0724175,85969.17984731882,0
XPL,D,20080811,000000,0.0724175,0.0776353,0.0724175,0.0724175,70307.58335807773,0
XPL,D,20080812,000000,0.0724175,0.0724175,0.0724175,0.0724175,26894.52814555669,0
XPL,D,20080813,000000,0.0776353,0.0776353,0.0724175,0.0724175,5798.563575923944,0
XPL,D,20080814,000000,0.0724175,0.0724175,0.0724175,0.0724175,193.99956134557124,0
XPL,D,20080818,000000,0.0724175,0.0724175,0.0724175,0.0724175,198459.17089379556,0
XPL,D,20080819,000000,0.0724175,0.0724175,0.0724175,0.0724175,156464.81185995578,0
XPL,D,20080820,000000,0.0724175,0.0724175,0.0724175,0.0724175,2783.8341962409822,0
XPL,D,20080821,000000,0.0724175,0.0724175,0.0724175,0.0724175,98768.39017069501,0
XPL,D,20080822,000000,0.0724175,0.0776353,0.0724175,0.0776353,2124.4737239377005,0
XPL,D,20080825,000000,0.0776353,0.0776353,0.0724175,0.0724175,19521.354633067072,0
XPL,D,20080826,000000,0.0724175,0.0724175,0.0724175,0.0724175,68790.10212669452,0
XPL,D,20080827,000000,0.0724175,0.0724175,0.0724175,0.0724175,11791.126713193495,0
XPL,D,20080828,000000,0.0724175,0.0724175,0.0724175,0.0724175,38851.09006750582,0
XPL,D,20080829,000000,0.0724175,0.0724175,0.0724175,0.0724175,20437.794278687114,0
XPL,D,20080901,000000,0.0724175,0.0724175,0.0724175,0.0724175,51449.159741388095,0
XPL,D,20080902,000000,0.0724175,0.0827857,0.0724175,0.0827857,146736.2694400854,0
XPL,D,20080903,000000,0.0827857,0.0827857,0.0776353,0.0776353,2124.4737239377005,0
XPL,D,20080904,000000,0.0827857,0.0827857,0.0827857,0.0827857,3864.51886925802,0
XPL,D,20080905,000000,0.0827857,0.0827857,0.0827857,0.0827857,38851.09006750582,0
XPL,D,20080908,000000,0.0827857,0.0827857,0.0827857,0.0827857,193.99956134557124,0
