<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAN,D,20140710,000000,1.41747,2.11965,1.41747,2.11965,220146.27545766227,0
YAN,D,20140711,000000,2.54325,3.05189,2.26797,2.87604,189114.04757391222,0
YAN,D,20140714,000000,2.83495,2.83495,2.1406,2.34192,140971.50110013914,0
YAN,D,20140715,000000,2.35629,2.45285,1.88504,1.93105,157181.27660647916,0
YAN,D,20140716,000000,1.84888,1.88997,1.60977,1.82341,198995.68249219336,0
YAN,D,20140717,000000,1.8078,1.88997,1.64346,1.69687,84553.69385737077,0
YAN,D,20140718,000000,1.69687,1.70508,1.52019,1.65824,38333.9285622795,0
YAN,D,20140721,000000,1.65743,1.71741,1.52019,1.69316,62015.777762976606,0
YAN,D,20140722,000000,1.58182,1.68413,1.58182,1.65824,37141.317451453026,0
YAN,D,20140723,000000,1.65824,1.96721,1.65824,1.93517,45173.188197835385,0
YAN,D,20140724,000000,1.80821,1.94955,1.72562,1.90598,41668.37187214127,0
YAN,D,20140725,000000,1.91791,1.94091,1.88997,1.94091,5987.3945563941315,0
YAN,D,20140728,000000,1.94955,1.94955,1.70426,1.79753,34975.146250155965,0
YAN,D,20140729,000000,1.70508,1.79753,1.65866,1.72152,31421.651919938304,0
YAN,D,20140730,000000,1.60935,1.72562,1.49965,1.58142,63743.8469235619,0
YAN,D,20140731,000000,1.57607,1.57607,1.29462,1.54074,16550.52153800004,0
YAN,D,20140801,000000,1.39693,1.5469,1.35585,1.52019,20030.9988614324,0
YAN,D,20140804,000000,1.42897,1.51198,1.30449,1.47911,27941.17459650594,0
YAN,D,20140805,000000,1.35585,1.40557,1.2326,1.31476,37895.82652156773,0
YAN,D,20140806,000000,1.2326,1.2326,1.07029,1.23013,66956.59522211488,0
YAN,D,20140807,000000,1.1422,1.23013,1.1381,1.19027,18546.31972346475,0
YAN,D,20140808,000000,1.1915,1.22396,1.14589,1.14589,22075.475051420635,0
YAN,D,20140811,000000,1.21534,1.21534,1.03743,1.04811,37555.080489903026,0
YAN,D,20140812,000000,1.15041,1.15041,1.06331,1.10482,23292.425164508877,0
YAN,D,20140813,000000,1.10523,1.10523,0.998398,1.04975,25969.715413303,0
YAN,D,20140814,000000,1.04933,1.04933,1.02717,1.02717,7155.66666495884,0
YAN,D,20140818,000000,1.02921,1.23013,1.02717,1.09701,79126.09635299724,0
YAN,D,20140819,000000,1.17671,1.17671,1.06947,1.12166,19787.608838814747,0
YAN,D,20140820,000000,1.17096,1.17096,1.07276,1.16027,47022.95236972953,0
YAN,D,20140821,000000,1.07687,1.1422,1.06824,1.13932,20347.405890835344,0
YAN,D,20140822,000000,1.14138,1.1422,1.06209,1.11673,4600.071427473539,0
YAN,D,20140825,000000,1.11673,1.11673,1.02717,1.02717,5062.512470447071,0
YAN,D,20140826,000000,1.08468,1.08468,0.986069,1.02717,9394.854873041197,0
YAN,D,20140827,000000,1.0477,1.10687,0.967582,1.08303,3748.206348311773,0
YAN,D,20140828,000000,1.02717,1.08509,0.944985,1.08016,21345.304983567694,0
YAN,D,20140829,000000,1.07646,1.07646,0.903898,0.908009,41765.72788118832,0
YAN,D,20140901,000000,0.908009,0.961422,0.822137,0.863223,25288.223349973585,0
YAN,D,20140902,000000,0.834052,0.949101,0.834052,0.947856,32468.229017194182,0
