<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZMT,D,20111010,000000,0.632622,0.632622,0.441309,0.441309,327481.9136845493,0
ZMT,D,20111011,000000,0.445212,0.460821,0.40609,0.410091,120111.45439877595,0
ZMT,D,20111012,000000,0.417846,0.417846,0.378822,0.410091,491958.750819992,0
ZMT,D,20111013,000000,0.40609,0.417846,0.40609,0.417846,37713.10586362605,0
ZMT,D,20111014,000000,0.417846,0.449065,0.413944,0.433455,58346.096091876454,0
ZMT,D,20111017,000000,0.45687,0.45687,0.429553,0.441309,46754.210098257754,0
ZMT,D,20111018,000000,0.425651,0.433455,0.402237,0.429553,42648.666124269155,0
ZMT,D,20111019,000000,0.421748,0.433455,0.417846,0.429553,33984.10586358315,0
ZMT,D,20111020,000000,0.417846,0.433455,0.413944,0.413944,350866.1042385642,0
ZMT,D,20111021,000000,0.413944,0.429553,0.410091,0.429553,6198.804560331901,0
ZMT,D,20111024,000000,0.429553,0.453017,0.394432,0.453017,43326.85016336491,0
ZMT,D,20111025,000000,0.437407,0.45687,0.437407,0.453017,75908.02605950521,0
ZMT,D,20111026,000000,0.45687,0.472528,0.453017,0.45687,437242.4576597534,0
ZMT,D,20111027,000000,0.472528,0.495942,0.468626,0.480333,198369.84365049063,0
ZMT,D,20111028,000000,0.488137,0.492039,0.45687,0.484235,37273.8045606894,0
ZMT,D,20111031,000000,0.495942,0.495942,0.464674,0.480333,10555.377850284302,0
ZMT,D,20111102,000000,0.449065,0.492039,0.449065,0.488137,118141.68404044711,0
ZMT,D,20111103,000000,0.480333,0.503796,0.480333,0.499844,121030.54560399825,0
ZMT,D,20111104,000000,0.499844,0.523308,0.492039,0.523308,37725.252443430756,0
ZMT,D,20111107,000000,0.507649,0.538917,0.507649,0.535015,39982.4918571375,0
ZMT,D,20111108,000000,0.523308,0.54277,0.523308,0.538917,14472.64983730005,0
ZMT,D,20111109,000000,0.54277,0.54277,0.523308,0.52721,35198.76384405315,0
ZMT,D,20111110,000000,0.507649,0.54277,0.507649,0.54277,16405.980456214802,0
ZMT,D,20111114,000000,0.54277,0.54277,0.515503,0.54277,9235.4495115069,0
ZMT,D,20111115,000000,0.538917,0.538917,0.515503,0.535015,22946.913681045753,0
ZMT,D,20111116,000000,0.52721,0.535015,0.515503,0.515503,5638.03745934825,0
ZMT,D,20111117,000000,0.515503,0.535015,0.515503,0.523308,52459.053746531856,0
ZMT,D,20111118,000000,0.515503,0.531113,0.507649,0.523308,4192.594462588951,0
ZMT,D,20111121,000000,0.507649,0.52721,0.499844,0.523308,33311.99511438975,0
ZMT,D,20111122,000000,0.503796,0.52721,0.503796,0.523308,110873.9804573016,0
ZMT,D,20111123,000000,0.507649,0.531113,0.507649,0.511552,3324.1140065529003,0
ZMT,D,20111124,000000,0.480333,0.531113,0.480333,0.523308,37150.314332674956,0
ZMT,D,20111125,000000,0.495942,0.52721,0.495942,0.52721,10990.63029328605,0
ZMT,D,20111128,000000,0.535015,0.538917,0.519356,0.538917,43596.09934903575,0
ZMT,D,20111129,000000,0.52721,0.54277,0.523308,0.54277,31577.0586322851,0
ZMT,D,20111130,000000,0.523308,0.546721,0.523308,0.546721,559100.9951204387,0
ZMT,D,20111201,000000,0.492039,0.546721,0.492039,0.52721,66545.03746004896,0
ZMT,D,20111202,000000,0.546721,0.546721,0.523308,0.523308,32117.581433594252,0
