<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUE,D,20101001,000000,14.1521,14.1521,13.4351,13.6055,228580.4084878331,0
ZUE,D,20101004,000000,13.6055,13.6139,13.4351,13.5515,107473.5117403374,0
ZUE,D,20101005,000000,13.489,13.5245,13.4527,13.5067,130598.50749719127,0
ZUE,D,20101006,000000,13.5245,13.6139,13.5245,13.5691,101073.4664786365,0
ZUE,D,20101007,000000,13.5785,13.5785,13.5431,13.5431,495.0370579942564,0
ZUE,D,20101008,000000,13.5431,13.5785,13.5431,13.5691,909.5366336684039,0
ZUE,D,20101011,000000,13.5431,13.5691,13.5245,13.5431,33457.41782196771,0
ZUE,D,20101012,000000,13.5338,13.5338,13.2739,13.4351,62900.847525100915,0
ZUE,D,20101013,000000,13.4351,13.4351,13.3727,13.4351,9461.5434229661,0
ZUE,D,20101014,000000,13.4351,13.4714,13.3634,13.4351,5918.96803397904,0
ZUE,D,20101015,000000,13.4351,13.4351,13.3903,13.4351,2738.274398883626,0
ZUE,D,20101018,000000,13.3997,13.4351,13.3997,13.4351,20729.274116098193,0
ZUE,D,20101019,000000,13.4351,13.4351,13.3093,13.3093,317.8545968900206,0
ZUE,D,20101020,000000,13.3009,13.3009,13.3009,13.3009,5476.548797767252,0
ZUE,D,20101021,000000,13.3009,13.4351,13.3009,13.4351,8469.321640782442,0
ZUE,D,20101022,000000,13.4351,13.4351,13.2116,13.4351,404.8350777957327,0
ZUE,D,20101025,000000,13.2116,13.5067,13.2116,13.5067,5012.652899603387,0
ZUE,D,20101026,000000,13.1668,13.4797,13.1668,13.4351,681.884016976907,0
ZUE,D,20101027,000000,13.381,13.6055,13.3549,13.4351,3943.11513439245,0
ZUE,D,20101028,000000,13.5161,13.5161,13.5067,13.5161,163.2226308354157,0
ZUE,D,20101029,000000,13.5245,13.5691,13.489,13.489,2805.925884032519,0
ZUE,D,20101102,000000,13.2563,13.5878,13.2563,13.5878,23903.52475260778,0
ZUE,D,20101103,000000,13.6055,13.6055,13.4351,13.5608,8001.13041022816,0
ZUE,D,20101104,000000,13.4351,13.5245,13.4351,13.4351,6553.603394661466,0
ZUE,D,20101105,000000,13.5067,13.5067,13.4351,13.489,84.83281471051242,0
ZUE,D,20101108,000000,13.4351,13.5067,13.3903,13.4258,2449.4132956288395,0
ZUE,D,20101109,000000,13.4351,13.4351,13.3903,13.4258,1866.3219236312978,0
ZUE,D,20101110,000000,13.4258,13.4258,13.4258,13.4258,495.0370579942564,0
ZUE,D,20101112,000000,13.4351,13.4351,13.4258,13.4351,2731.831400298003,0
ZUE,D,20101115,000000,13.4351,13.4351,13.4351,13.4351,335.0359264516422,0
ZUE,D,20101116,000000,13.4351,13.4351,13.1668,13.1668,1758.9386138711113,0
ZUE,D,20101117,000000,13.3186,13.3186,12.8437,13.0765,1920.0135785112886,0
ZUE,D,20101118,000000,13.0048,13.4258,13.0048,13.3457,4939.6322489665245,0
ZUE,D,20101119,000000,13.4258,13.4258,13.1035,13.1035,274.9012729859665,0
ZUE,D,20101122,000000,12.9872,13.2563,12.9872,13.0765,381.21074964850794,0
ZUE,D,20101123,000000,13.1576,13.1576,12.9872,12.9872,511.1445544582742,0
ZUE,D,20101124,000000,13.3903,13.3903,12.9872,13.1668,3853.986987291479,0
ZUE,D,20101125,000000,13.2563,13.3903,13.2563,13.3457,12393.10777941792,0
ZUE,D,20101126,000000,13.4351,13.4351,13.2563,13.3457,1172.6257425807069,0
ZUE,D,20101129,000000,13.1668,13.1668,13.1668,13.1668,3014.2495049671656,0
ZUE,D,20101130,000000,13.2116,13.2116,13.0141,13.0141,893.429137204386,0
ZUE,D,20101201,000000,13.4258,13.4258,13.2116,13.2116,10158.461103309453,0
ZUE,D,20101202,000000,13.3457,13.3549,13.2116,13.2116,78401.62828897728,0
ZUE,D,20101203,000000,13.3903,13.3903,13.2116,13.2116,35235.68543159529,0
ZUE,D,20101206,000000,13.1668,13.381,12.6379,12.7189,31188.408486735716,0
ZUE,D,20101207,000000,13.2022,13.2022,13.0765,13.1399,216.9142857154884,0
ZUE,D,20101208,000000,13.1668,13.408,12.8977,13.1929,58052.491089430776,0
ZUE,D,20101209,000000,13.247,13.2563,12.9872,12.9872,113361.33861449403,0
ZUE,D,20101210,000000,12.8801,12.9872,12.8801,12.9872,234.09561527711003,0
ZUE,D,20101213,000000,12.9787,12.9787,12.8884,12.8884,258.7937765219386,0
ZUE,D,20101214,000000,12.8801,12.8977,12.8084,12.853,1595.7159830357264,0
ZUE,D,20101215,000000,12.8977,12.8977,12.7635,12.7635,499.3323903846618,0
ZUE,D,20101216,000000,12.6472,12.7635,12.4498,12.6286,1402.4260254674318,0
ZUE,D,20101217,000000,12.7189,12.7189,12.5038,12.5122,3496.4005657902467,0
ZUE,D,20101220,000000,12.2793,12.5391,12.2347,12.5391,450899.2961835437,0
ZUE,D,20101221,000000,12.5391,12.6649,12.3873,12.6109,2380.687977382394,0
ZUE,D,20101222,000000,12.5391,12.6025,12.298,12.5391,373.6939179652909,0
ZUE,D,20101223,000000,12.6286,12.6743,12.5308,12.5391,23138.955587115634,0
ZUE,D,20101227,000000,12.6025,12.6109,12.2793,12.5754,3635.998868478448,0
ZUE,D,20101228,000000,12.4228,12.584,12.4228,12.584,192974.25063755608,0
ZUE,D,20101229,000000,12.6202,12.6202,12.5391,12.5391,33721.580763977356,0
ZUE,D,20101230,000000,12.5485,12.5485,12.5122,12.5391,469.265063651824,0
ZUE,D,20101231,000000,12.5308,12.9872,12.4674,12.4674,3110.894483751313,0
ZUE,D,20110103,000000,12.745,12.745,12.745,12.745,476.78189533503087,0
ZUE,D,20110104,000000,12.5485,12.7272,12.5485,12.7272,1738.5357850166884,0
ZUE,D,20110105,000000,12.9517,12.9517,12.9517,12.9517,1116.786421505508,0
ZUE,D,20110107,000000,12.8977,12.9695,12.8977,12.9695,842.9589816171148,0
ZUE,D,20110110,000000,12.9695,13.3009,12.9331,12.9331,1440.0101838835174,0
ZUE,D,20110111,000000,12.8084,12.8084,12.799,12.8084,223.3572843010914,0
ZUE,D,20110112,000000,12.8084,12.9695,12.7635,12.9695,397.31824611252574,0
ZUE,D,20110113,000000,12.8977,12.9695,12.8977,12.9695,312.4854314020113,0
ZUE,D,20110114,000000,12.8977,12.8977,12.8977,12.8977,876.2478076427542,0
ZUE,D,20110117,000000,12.5754,12.853,12.5754,12.853,61.20848656328064,0
ZUE,D,20110118,000000,12.8801,12.8801,12.5391,12.5391,134077.7267334116,0
ZUE,D,20110119,000000,12.5391,12.5391,12.5391,12.5391,2311.962659135846,0
ZUE,D,20110120,000000,12.5485,12.9331,12.5391,12.9331,4781.778783619108,0
ZUE,D,20110121,000000,12.8084,12.8977,12.8084,12.8977,345.7742574276608,0
ZUE,D,20110124,000000,12.8977,12.8977,12.6379,12.8624,510.07072136067023,0
ZUE,D,20110126,000000,12.6286,12.8801,12.6286,12.7189,3427.675247543699,0
ZUE,D,20110127,000000,12.7189,12.7189,12.5391,12.5391,520.8090523366889,0
ZUE,D,20110128,000000,12.7189,12.7189,12.5391,12.6919,1318.6670438545316,0
ZUE,D,20110131,000000,12.6649,12.6649,12.6649,12.6649,55.83932107527336,0
ZUE,D,20110201,000000,12.0466,12.5391,12.0466,12.5391,44811.0551629073,0
ZUE,D,20110202,000000,12.5391,12.7189,12.5391,12.7189,2110.0820367868223,0
ZUE,D,20110203,000000,12.7096,12.9423,12.7096,12.9423,3433.0444130317696,0
